Product Name,Product Version,Mapped Product Name,Lifecycle Color,Match Type,Match Details
Content Navigator and Content Navigator Mobile App,3.0.8,Content Navigator and Content Navigator Mobile App,blue,no_match,"No match found for product 'Content Navigator and Content Navigator Mobile App' (mapped from 'Content Navigator and Content Navigator Mobile App'), version '3.0.8'"
Engineering Lifecycle Management Base SaaS,7.2.0,Engineering Lifecycle Management Base SaaS,blue,no_match,"No match found for product 'Engineering Lifecycle Management Base SaaS' (mapped from 'Engineering Lifecycle Management Base SaaS'), version '7.2.0'"
SPSS Statistics,28.0.1.1,IBM SPSS Statistics,green,exact,"Exact match: product='ibm spss statistics', version='28.0.x'"
DevOps Deploy,7.3.2.13,DevOps Deploy,blue,no_match,"No match found for product 'DevOps Deploy' (mapped from 'DevOps Deploy'), version '7.3.2.13'"
Maximo for Life Sciences,7.6.1,Maximo for Life Sciences,red,major.minor,Major.minor match: '7.6.1' matches '7.6.0.x' in 'maximo for life sciences'
Data Product Hub,5.2.x,Data Product Hub,blue,no_match,"No match found for product 'Data Product Hub' (mapped from 'Data Product Hub'), version '5.2.x'"
z Workload Scheduler,9.5,z Workload Scheduler,green,substring,"Substring match: found 'z workload scheduler' in 'ibm z workload scheduler', version='9.5.x'"
Beetle Point of Sale System,nan,Beetle Point of Sale System,blue,no_match,Empty or null version
Python for z/OS,"Open Enterprise Python for z/OS, V3.12 (EOS, 4/30/2026)",Python for z/OS,blue,no_match,"No match found for product 'Python for z/OS' (mapped from 'Python for z/OS'), version 'open enterprise python for z/os, v3.12'"
Nomad Self-Managed,1.11.2,Nomad Self-Managed,blue,no_match,"No match found for product 'Nomad Self-Managed' (mapped from 'Nomad Self-Managed'), version '1.11.2'"
DataStax Enterprise,5.1.42,DataStax Enterprise,green,major.minor,Major.minor match: '5.1.42' matches '5.1' in 'ibm datastax enterprise'
Sterling Connect Direct for z/OS,6.0,IBM Sterling Connect:Direct for z/OS,green,substring,"Substring match: found 'ibm sterling connect:direct for z/os' in 'ibm sterling connect:direct for z/os standard edition', version='6.0.x'"
Rational Licensing,8.1.6,Rational License Key Server,blue,no_match,"No match found for product 'Rational License Key Server' (mapped from 'Rational Licensing'), version '8.1.6'"
Cloud Pak for Data,nan,Cloud Pak for Data,blue,no_match,Empty or null version
Netcool Operations Insights,1.6.12,Netcool Operations Insights,blue,no_match,"No match found for product 'Netcool Operations Insights' (mapped from 'Netcool Operations Insights'), version '1.6.12'"
OMEGAMON Performance Management Suite,5.5.0,OMEGAMON Performance Management Suite,red,substring,"Substring match: found 'omegamon performance management suite' in 'ibm omegamon performance management suite for z/os', version='5.5.x'"
Aspera,3.4.0,Aspera,blue,no_match,"No match found for product 'Aspera' (mapped from 'Aspera'), version '3.4.0'"
Vault Self-Managed,1.19.1,Vault Self-Managed,green,substring,"Substring match: found 'vault self-managed' in 'ibm vault self-managed', version='1.19.x'"
Storage Protect for Virtual Environments,8.1.27.0,Storage Protect for Virtual Environments,green,substring,"Substring match: found 'storage protect for virtual environments' in 'ibm storage protect for virtual environments', version='8.1.x'"
Open Enterprise Foundation for z/OS,1.1.x,Open Enterprise Foundation for z/OS,green,substring,"Substring match: found 'open enterprise foundation for z/os' in 'ibm open enterprise foundation for z/os', version='1.1.x'"
Expertise Connect for On Demand Consulting,nan,Expertise Connect for On Demand Consulting,blue,no_match,Empty or null version
SPSS Modeler,18.3.0.0,IBM SPSS Modeler,green,exact,"Exact match: product='ibm spss modeler', version='18.3.x'"
Kubecost Cloud Service,3.1.3,Kubecost Cloud Service,blue,no_match,"No match found for product 'Kubecost Cloud Service' (mapped from 'Kubecost Cloud Service'), version '3.1.3'"
Planning Analytics Local,3.1.7,Planning Analytics Local,blue,no_match,"No match found for product 'Planning Analytics Local' (mapped from 'Planning Analytics Local'), version '3.1.7'"
Terraform Self-Managed,1.0.2,Terraform Self-Managed,blue,no_match,"No match found for product 'Terraform Self-Managed' (mapped from 'Terraform Self-Managed'), version '1.0.2'"
Sterling Transformation Extender,10.0.2,IBM Sterling Transformation Extender,red,exact,"Exact match: product='ibm sterling transformation extender', version='10.0.x'"
Guardium S-TAP for zOS,10.1,IBM Security Guardium S-TAP for Db2 on z/OS,orange,exact,"Exact match: product='ibm security guardium s-tap for db2 on z/os', version='10.1.x'"
Aruba Networking CX Series Switches,nan,Aruba Networking CX Series Switches,blue,no_match,Empty or null version
IBM Java for z/OS,Java 7 64-bit,"IBM 64-bit SDK for z/OS, Java 2 Technology Edition",blue,no_match,"No match found for product 'IBM 64-bit SDK for z/OS, Java 2 Technology Edition' (mapped from 'IBM Java for z/OS'), version 'java 7 64-bit'"
