Product Name,Product Version,Mapped Product Name,Lifecycle Color,Match Type,Match Details
ATMs,nan,ATMs,blue,no_match,Empty or null version
TS1090 Tape Drive,nan,TS1090 Tape Drive,blue,no_match,Empty or null version
Cloud Pak for Security,nan,Cloud Pak for Security,blue,no_match,Empty or null version
z14,nan,z14,blue,no_match,Empty or null version
Citrix MetaFrame,nan,Citrix MetaFrame,blue,no_match,Empty or null version
Maximo Application Suite on Cloud,nan,Maximo Application Suite on Cloud,blue,no_match,Empty or null version
SAN Volume Controller,8.5,SAN Volume Controller,blue,no_match,"No match found for product 'SAN Volume Controller' (mapped from 'SAN Volume Controller'), version '8.5'"
QRadar SIEM,7.5.0.15,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
z17,nan,z17,blue,no_match,Empty or null version
Cash Recycling Automatic Teller Machine,nan,Cash Recycling Automatic Teller Machine,blue,no_match,Empty or null version
Printers,nan,Printers,blue,no_match,Empty or null version
Consumer Trusteer Rapport,nan,Consumer Trusteer Rapport,blue,no_match,Empty or null version
Power System S922 Server,nan,Power System S922 Server,blue,no_match,Empty or null version
Robotic Process Automation,30.0.2,IBM Robotic Process Automation,green,exact,"Exact match: product='ibm robotic process automation', version='30.0.x'"
LinuxONE Emperor 4,nan,LinuxONE Emperor 4,blue,no_match,Empty or null version
z/OS,3.1.0,z/OS,green,exact,"Exact match: product='z/os', version='3.1.0'"
Partner Ecosystem Support,nan,Partner Ecosystem Support,blue,no_match,Empty or null version
Storage Fusion HCI Physical Appliance,2.12.0,Storage Fusion HCI Physical Appliance,blue,no_match,"No match found for product 'Storage Fusion HCI Physical Appliance' (mapped from 'Storage Fusion HCI Physical Appliance'), version '2.12.0'"
FlashSystem 5000,nan,FlashSystem 5000,blue,no_match,Empty or null version
webMethods Integration SaaS,nan,webMethods Integration SaaS,blue,no_match,Empty or null version
z/OS,2.5.0,z/OS,orange,exact,"Exact match: product='z/os', version='2.5.0'"
Power System Hardware Management Console Physical Appliance,nan,Power System Hardware Management Console Physical Appliance,blue,no_match,Empty or null version
IBM i,7.4,IBM i,green,exact,"Exact match: product='ibm i', version='7.4.x'"
Power System E880C Server,nan,Power System E880C Server,blue,no_match,Empty or null version
Workload Scheduler,10.2 on-prem,Workload Scheduler,blue,no_match,"No match found for product 'Workload Scheduler' (mapped from 'Workload Scheduler'), version '10.2 on-prem'"
Labor Only Project Services,nan,Labor Only Project Services,blue,no_match,Empty or null version
DS8900F,nan,DS8900F,blue,no_match,Empty or null version
Hardware Management Console Application,V10 R3 M1050,Hardware Management Console Application,blue,no_match,"No match found for product 'Hardware Management Console Application' (mapped from 'Hardware Management Console Application'), version 'v10 r3 m1050'"
QRadar SOAR,51.0.1.2,QRadar SOAR,green,substring,"Substring match: found 'qradar soar' in 'ibm security qradar soar', version='51.0.x'"
Aspera,Other,Aspera,blue,no_match,"No match found for product 'Aspera' (mapped from 'Aspera'), version 'other'"
WebSphere Application Server,9.0.x,WebSphere Application Server,green,exact,"Exact match: product='websphere application server', version='9.0.x'"
"Db2 Linux, Unix and Windows",11.5,"Db2 Linux, Unix and Windows",blue,no_match,"No match found for product 'Db2 Linux, Unix and Windows' (mapped from 'Db2 Linux, Unix and Windows'), version '11.5'"
AIX,7.3,AIX,green,exact,"Exact match: product='aix', version='7.3.0'"
Maximo Application Suite,9.0.0,Maximo Application Suite,green,substring,"Substring match: found 'maximo application suite' in 'ibm maximo application suite', version='9.0.x'"
Security Verify,nan,Security Verify,blue,no_match,Empty or null version
Red Hat Enterprise Linux Server,8.x,Red Hat Enterprise Linux Server,blue,no_match,"No match found for product 'Red Hat Enterprise Linux Server' (mapped from 'Red Hat Enterprise Linux Server'), version '8.x'"
Sterling B2B Integrator,6.1.2,IBM Sterling B2B Integrator,green,substring,"Substring match: found 'ibm sterling b2b integrator' in 'ibm sterling b2b integrator', version='6.1.x'"
ASA Series,nan,ASA Series,blue,no_match,Empty or null version
z16 A02,nan,z16 A02,blue,no_match,Empty or null version
Content Manager OnDemand,10.5,Content Manager OnDemand,green,exact,"Exact match: product='content manager ondemand', version='10.5.x'"
Envizi ESG Suite,nan,Envizi ESG Suite,blue,no_match,Empty or null version
ProLiant DL Series Servers,nan,ProLiant DL Series Servers,blue,no_match,Empty or null version
z16,nan,z16,blue,no_match,Empty or null version
TS4500 Tape Library,nan,TS4500 Tape Library,blue,no_match,Empty or null version
TS7700,nan,TS7700,blue,no_match,Empty or null version
SPSS Licensing,nan,SPSS Licensing,blue,no_match,Empty or null version
OpenPages,9.2.0,OpenPages,green,substring,"Substring match: found 'openpages' in 'ibm openpages', version='9.2.x'"
Master Data Management SE,nan,Master Data Management SE,blue,no_match,Empty or null version
Elastic Storage System Hardware,nan,Elastic Storage System Hardware,blue,no_match,Empty or null version
Vault Self-Managed,1.18.15,Vault Self-Managed,blue,no_match,"No match found for product 'Vault Self-Managed' (mapped from 'Vault Self-Managed'), version '1.18.15'"
Power System S1014 Server,nan,Power System S1014 Server,blue,no_match,Empty or null version
Macbook Air,nan,Macbook Air,blue,no_match,Empty or null version
z15 T02,nan,z15 T02,blue,no_match,Empty or null version
Video Streaming,nan,Video Streaming,blue,no_match,Empty or null version
Cognos Analytics,12.1.1,IBM Cognos Analytics,green,exact,"Exact match: product='ibm cognos analytics', version='12.1.x'"
Verify Identity Access,V.10.0.2,Verify Identity Access,blue,no_match,"No match found for product 'Verify Identity Access' (mapped from 'Verify Identity Access'), version 'v.10.0.2'"
Db2 Warehouse as a Service,nan,Db2 Warehouse as a Service,blue,no_match,Empty or null version
Spectrum LSF,10.1,Spectrum LSF,green,substring,"Substring match: found 'spectrum lsf' in 'ibm spectrum lsf', version='10.1.x'"
ProLiant ML Series Servers,nan,ProLiant ML Series Servers,blue,no_match,Empty or null version
Maximo Application Suite on Cloud,9.1.0,Maximo Application Suite on Cloud,blue,no_match,"No match found for product 'Maximo Application Suite on Cloud' (mapped from 'Maximo Application Suite on Cloud'), version '9.1.0'"
Cloud Pak for Business Automation as a Service,nan,Cloud Pak for Business Automation as a Service,blue,no_match,Empty or null version
TS1160 Tape Drive,nan,TS1160 Tape Drive,blue,no_match,Empty or null version
SAN Volume Controller,nan,SAN Volume Controller,blue,no_match,Empty or null version
Subscription and Subscriber Management,nan,Subscription and Subscriber Management,blue,no_match,Empty or null version
Analytics Cloud Service,nan,Analytics Cloud Service,blue,no_match,Empty or null version
PowerEdge Server,nan,PowerEdge Server,blue,no_match,Empty or null version
Trusteer Pinpoint Detect,nan,Trusteer Pinpoint Detect,blue,no_match,Empty or null version
WebSphere Application Server,Liberty,WebSphere Application Server,blue,no_match,"No match found for product 'WebSphere Application Server' (mapped from 'WebSphere Application Server'), version 'liberty'"
IBM Technology Zone,nan,IBM Technology Zone,blue,no_match,Empty or null version
z14 ZR1,nan,z14 ZR1,blue,no_match,Empty or null version
z13,nan,z13,blue,no_match,Empty or null version
Power System S1022 Server,nan,Power System S1022 Server,blue,no_match,Empty or null version
DS8A00,nan,DS8A00,blue,no_match,Empty or null version
LiveWork,nan,LiveWork,blue,no_match,Empty or null version
Power System S914 Server,nan,Power System S914 Server,blue,no_match,Empty or null version
Sterling B2B Integrator,6.2.1,IBM Sterling B2B Integrator,green,substring,"Substring match: found 'ibm sterling b2b integrator' in 'ibm sterling b2b integrator', version='6.2.x'"
FlashSystem 9100,nan,FlashSystem 9100,blue,no_match,Empty or null version
Storage Protect,8.1.0.0,Storage Protect,green,substring,"Substring match: found 'storage protect' in 'ibm storage protect', version='8.1.x'"
Cloud Infrastructure Center,1.2.5 for IBM Z and LinuxONE,Cloud Infrastructure Center,green,substring,"Substring match: found 'cloud infrastructure center' in 'ibm cloud infrastructure center', version='1.2.x'"
Bob,nan,Bob,blue,no_match,Empty or null version
MQ,9.3 LTS,IBM MQ,blue,no_match,"No match found for product 'IBM MQ' (mapped from 'MQ'), version '9.3 lts'"
Laptop Personal Computers,nan,Laptop Personal Computers,blue,no_match,Empty or null version
MaaS360,nan,MaaS360,blue,no_match,Empty or null version
Macbook Pro,nan,Macbook Pro,blue,no_match,Empty or null version
Targetprocess,nan,Targetprocess,blue,no_match,Empty or null version
IBM i,7.5,IBM i,green,exact,"Exact match: product='ibm i', version='7.5.x'"
Cloud Pak for AIOps,4.10.1,Cloud Pak for AIOps,green,wildcard,Wildcard match: version '4.10.1' matches pattern '4.x' in 'ibm cloud pak for aiops'
Apptio,nan,Apptio,blue,no_match,Empty or null version
MQ,9.4 LTS,IBM MQ,blue,no_match,"No match found for product 'IBM MQ' (mapped from 'MQ'), version '9.4 lts'"
Installation & De-Installation Project Services,nan,Installation & De-Installation Project Services,blue,no_match,Empty or null version
DataPower,10.6.0,DataPower,green,substring,"Substring match: found 'datapower' in 'ibm datapower gateway x2', version='10.6.x'"
AIX,7.2,AIX,green,exact,"Exact match: product='aix', version='7.2.0'"
Workload Scheduler,10.1 on-prem,Workload Scheduler,blue,no_match,"No match found for product 'Workload Scheduler' (mapped from 'Workload Scheduler'), version '10.1 on-prem'"
Operational Decision Manager,9.5.0.1,Operational Decision Manager,green,substring,"Substring match: found 'operational decision manager' in 'ibm operational decision manager', version='9.5.x'"
Cloud Object Storage,3.19.2.52,Cloud Object Storage,blue,no_match,"No match found for product 'Cloud Object Storage' (mapped from 'Cloud Object Storage'), version '3.19.2.52'"
InfoSphere Information Server: Data Integration (DataStage),11.7.1,InfoSphere Information Server: Data Integration (DataStage),blue,no_match,"No match found for product 'InfoSphere Information Server: Data Integration (DataStage)' (mapped from 'InfoSphere Information Server: Data Integration (DataStage)'), version '11.7.1'"
Guardium Data Protection,12.1,Guardium Data Protection,orange,substring,"Substring match: found 'guardium data protection' in 'ibm security guardium data protection for nas', version='12.1.x'"
FlashSystem 9200,8.7,FlashSystem 9200,blue,no_match,"No match found for product 'FlashSystem 9200' (mapped from 'FlashSystem 9200'), version '8.7'"
Desktop Personal Computers,nan,Desktop Personal Computers,blue,no_match,Empty or null version
Db2 Log Analysis Tool for z/OS,3.5,Db2 Log Analysis Tool for z/OS,green,substring,"Substring match: found 'db2 log analysis tool for z/os' in 'ibm db2 log analysis tool for z/os', version='3.5.0'"
FlashSystem 5000,8.6,FlashSystem 5000,blue,no_match,"No match found for product 'FlashSystem 5000' (mapped from 'FlashSystem 5000'), version '8.6'"
Verify Identity Access,11.0.2,Verify Identity Access,green,substring,"Substring match: found 'verify identity access' in 'ibm verify identity access', version='11.0.x'"
Vault Self-Managed,1.19.15,Vault Self-Managed,green,substring,"Substring match: found 'vault self-managed' in 'ibm vault self-managed', version='1.19.x'"
QRadar SIEM,7.5.0.0,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
Storage Fusion HCI Physical Appliance,2.10.0,Storage Fusion HCI Physical Appliance,blue,no_match,"No match found for product 'Storage Fusion HCI Physical Appliance' (mapped from 'Storage Fusion HCI Physical Appliance'), version '2.10.0'"
Cloud Pak for Data,5.3.1,Cloud Pak for Data,green,wildcard,Wildcard match: version '5.3.1' matches pattern '5.x.x' in 'ibm cloud pak for data'
Storage Protect,8.1.27.0,Storage Protect,green,substring,"Substring match: found 'storage protect' in 'ibm storage protect', version='8.1.x'"
Hardware Management Console Application,V10 R1 Virtual Appliance,Hardware Management Console Application,blue,no_match,"No match found for product 'Hardware Management Console Application' (mapped from 'Hardware Management Console Application'), version 'v10 r1 virtual appliance'"
Support Insights,nan,Support Insights,blue,no_match,Empty or null version
Cloud Pak for Business Automation,25.0.0,Cloud Pak for Business Automation,green,substring,"Substring match: found 'cloud pak for business automation' in 'ibm cloud pak for business automation', version='25.0.x'"
Storwize V7000,nan,Storwize V7000,blue,no_match,Empty or null version
Field Project Services,nan,Field Project Services,blue,no_match,Empty or null version
Planning Analytics Local,2.1.13,Planning Analytics Local,green,substring,"Substring match: found 'planning analytics local' in 'ibm planning analytics local', version='2.1.x'"
Turbonomic SaaS,SaaS,Turbonomic SaaS,blue,no_match,"No match found for product 'Turbonomic SaaS' (mapped from 'Turbonomic SaaS'), version 'saas'"
Netcool/OMNIbus,8.1.0.11,Netcool/OMNIbus,red,exact,"Exact match: product='netcool/omnibus', version='8.1.x'"
Power System E870 Server,nan,Power System E870 Server,blue,no_match,Empty or null version
IBMid Enterprise Federation,nan,IBMid Enterprise Federation,blue,no_match,Empty or null version
Power System 740 Server,nan,Power System 740 Server,blue,no_match,Empty or null version
DevOps Deploy,8.0.0.1,DevOps Deploy,green,substring,"Substring match: found 'devops deploy' in 'ibm devops deploy', version='8.0.x'"
Db2 for z/OS,13,Db2 for z/OS,blue,no_match,"No match found for product 'Db2 for z/OS' (mapped from 'Db2 for z/OS'), version '13'"
Storwize V5000e,8.2,Storwize V5000e,blue,no_match,"No match found for product 'Storwize V5000e' (mapped from 'Storwize V5000e'), version '8.2'"
Terminals for Attractive Customer Experience Passbook Printer,nan,Terminals for Attractive Customer Experience Passbook Printer,blue,no_match,Empty or null version
Maximo Renewables,nan,Maximo Renewables,blue,no_match,Empty or null version
Flexera One,23.1.0,Flexera One,green,substring,"Substring match: found 'flexera one' in 'flexera one with ibm observability', version='23.1.x'"
Thin Client Series Personal Computers,nan,Thin Client Series Personal Computers,blue,no_match,Empty or null version
App Connect Enterprise,12.0.11,App Connect Enterprise,green,substring,"Substring match: found 'app connect enterprise' in 'ibm app connect enterprise', version='12.0.x'"
Storage Protect Plus,10.1.16,Storage Protect Plus,green,substring,"Substring match: found 'storage protect plus' in 'ibm storage protect plus', version='10.1.x'"
FlashSystem 5000,Unknown,FlashSystem 5000,blue,no_match,"No match found for product 'FlashSystem 5000' (mapped from 'FlashSystem 5000'), version 'unknown'"
Power System S824 Server,nan,Power System S824 Server,blue,no_match,Empty or null version
FlashSystem 5200,8.6,FlashSystem 5200,blue,no_match,"No match found for product 'FlashSystem 5200' (mapped from 'FlashSystem 5200'), version '8.6'"
WebSphere Application Server,9.0.x ND on IBM i,WebSphere Application Server,green,exact,"Exact match: product='websphere application server', version='9.0.x'"
Planning Analytics Local,2.1.19,Planning Analytics Local,green,substring,"Substring match: found 'planning analytics local' in 'ibm planning analytics local', version='2.1.x'"
Cloud Pak for Data,5.2.2,Cloud Pak for Data,green,wildcard,Wildcard match: version '5.2.2' matches pattern '5.x.x' in 'ibm cloud pak for data'
Cloud Object Storage,3.18.2.87,Cloud Object Storage,green,substring,"Substring match: found 'cloud object storage' in 'ibm cloud object storage system', version='3.18.x'"
Instana Observability SaaS,SaaS,Instana Observability SaaS,green,substring,"Substring match: found 'instana observability saas' in 'ibm instana observability saas', version='saas'"
Datacap,9.1.10,Datacap,green,substring,"Substring match: found 'datacap' in 'ibm datacap', version='9.1.x'"
Vault Self-Managed,1.19.10,Vault Self-Managed,green,substring,"Substring match: found 'vault self-managed' in 'ibm vault self-managed', version='1.19.x'"
Cloudability,nan,Cloudability,blue,no_match,Empty or null version
Sterling B2B Integration SaaS Premium,nan,Sterling B2B Integration SaaS Premium,blue,no_match,Empty or null version
Power System E980 Server,nan,Power System E980 Server,blue,no_match,Empty or null version
FlashSystem 7200,8.7,FlashSystem 7200,blue,no_match,"No match found for product 'FlashSystem 7200' (mapped from 'FlashSystem 7200'), version '8.7'"
DevOps Deploy,8.0.0.0,DevOps Deploy,green,substring,"Substring match: found 'devops deploy' in 'ibm devops deploy', version='8.0.x'"
Data Replication,nan,Data Replication,blue,no_match,Empty or null version
Cloud Pak for Data,5.0.0,Cloud Pak for Data,green,wildcard,Wildcard match: version '5.0.0' matches pattern '5.x.x' in 'ibm cloud pak for data'
Siebel,nan,Siebel,blue,no_match,Empty or null version
API Connect,10.0.8,API Connect,green,substring,"Substring match: found 'api connect' in 'ibm api connect', version='10.0.x'"
VSP,nan,VSP,blue,no_match,Empty or null version
Spectrum Virtualize for FlashSystem 7000 ,8.6,Spectrum Virtualize for FlashSystem 7000 ,blue,no_match,"No match found for product 'Spectrum Virtualize for FlashSystem 7000 ' (mapped from 'Spectrum Virtualize for FlashSystem 7000 '), version '8.6'"
Best Effort,nan,Best Effort,blue,no_match,Empty or null version
App Connect Enterprise,13.0.4,App Connect Enterprise,green,substring,"Substring match: found 'app connect enterprise' in 'ibm app connect enterprise', version='13.0.x'"
Engineering Lifecycle Management Base,7.1.0,Engineering Lifecycle Management Base,green,substring,"Substring match: found 'engineering lifecycle management base' in 'ibm engineering lifecycle management base', version='7.1.0'"
WebSphere Application Server,8.5.x,WebSphere Application Server,green,exact,"Exact match: product='websphere application server', version='8.5.x'"
Storage Protect,8.2.0,Storage Protect,green,substring,"Substring match: found 'storage protect' in 'ibm storage protect', version='8.2.0'"
Router Series,nan,Router Series,blue,no_match,Empty or null version
Facilities and Real Estate Management on Cloud (TRIRIGA),nan,Facilities and Real Estate Management on Cloud (TRIRIGA),blue,no_match,Empty or null version
DIDO Controller,nan,DIDO Controller,blue,no_match,Empty or null version
Power System S1024 Server,nan,Power System S1024 Server,blue,no_match,Empty or null version
TS4300 Tape Library,nan,TS4300 Tape Library,blue,no_match,Empty or null version
Planning Analytics Local,2.1.9,Planning Analytics Local,green,substring,"Substring match: found 'planning analytics local' in 'ibm planning analytics local', version='2.1.x'"
Premium Operations Linux,nan,Premium Operations Linux,blue,no_match,Empty or null version
Planning Analytics on Cloud,nan,Planning Analytics on Cloud,blue,no_match,Empty or null version
ApplinX,10.15,ApplinX,blue,no_match,"No match found for product 'ApplinX' (mapped from 'ApplinX'), version '10.15'"
Power System E1080 Server,nan,Power System E1080 Server,blue,no_match,Empty or null version
FlashSystem 7200,nan,FlashSystem 7200,blue,no_match,Empty or null version
z/OS,2.3.0 (EOS - Sept 2022),z/OS,red,exact,"Exact match: product='z/os', version='2.3.x'"
Power System S1022s Server,nan,Power System S1022s Server,blue,no_match,Empty or null version
Nexus Series,nan,Nexus Series,blue,no_match,Empty or null version
Power System S924 Server,nan,Power System S924 Server,blue,no_match,Empty or null version
Power System 720 Server,nan,Power System 720 Server,blue,no_match,Empty or null version
Power System S1122 Server,nan,Power System S1122 Server,blue,no_match,Empty or null version
TS1070 Tape Drive,nan,TS1070 Tape Drive,blue,no_match,Empty or null version
CICS Transaction Server,CICS TS 6.2,CICS Transaction Server for z/OS,blue,no_match,"No match found for product 'CICS Transaction Server for z/OS' (mapped from 'CICS Transaction Server'), version 'cics ts 6.2'"
FlashSystem 5100,nan,FlashSystem 5100,blue,no_match,Empty or null version
Sterling Control Center,6.4.0.0,Sterling Control Center,green,substring,"Substring match: found 'sterling control center' in 'ibm sterling control center monitor', version='6.4.x'"
Storage Fusion,2.12.0,Storage Fusion,blue,no_match,"No match found for product 'Storage Fusion' (mapped from 'Storage Fusion'), version '2.12.0'"
Cloud Pak for Applications,other,Cloud Pak for Applications,blue,no_match,"No match found for product 'Cloud Pak for Applications' (mapped from 'Cloud Pak for Applications'), version 'other'"
Informix Dynamic Server,IDS 14.10.xC13,IBM Informix Advanced Enterprise Edition,blue,no_match,"No match found for product 'IBM Informix Advanced Enterprise Edition' (mapped from 'Informix Dynamic Server'), version 'ids 14.10.xc13'"
SAN c-type Collection,nan,SAN c-type Collection,blue,no_match,Empty or null version
Aspera,5.0.4,Aspera,blue,no_match,"No match found for product 'Aspera' (mapped from 'Aspera'), version '5.0.4'"
Power System S814 Server,nan,Power System S814 Server,blue,no_match,Empty or null version
Db2 as a Service,nan,Db2 as a Service,blue,no_match,Empty or null version
FlashSystem 7300,nan,FlashSystem 7300,blue,no_match,Empty or null version
License Metric Tool,9.2.4,License Metric Tool,green,substring,"Substring match: found 'license metric tool' in 'ibm license metric tool', version='9.2.x'"
Hardware Management Console Application,V11 R1 M1111,Hardware Management Console Application,blue,no_match,"No match found for product 'Hardware Management Console Application' (mapped from 'Hardware Management Console Application'), version 'v11 r1 m1111'"
FlashSystem 7200,8.5,FlashSystem 7200,blue,no_match,"No match found for product 'FlashSystem 7200' (mapped from 'FlashSystem 7200'), version '8.5'"
Sterling Connect Direct,C:D UNIX 6.4,IBM Sterling Connect:Direct for UNIX,blue,no_match,"No match found for product 'IBM Sterling Connect:Direct for UNIX' (mapped from 'Sterling Connect Direct'), version 'c:d unix 6.4'"
Copy Services Manager,6.3.14.0,Copy Services Manager,green,substring,"Substring match: found 'copy services manager' in 'ibm copy services manager', version='6.3.x'"
Diamondback Tape Library,nan,Diamondback Tape Library,blue,no_match,Empty or null version
SAN b-type Collection,nan,SAN b-type Collection,blue,no_match,Empty or null version
Power System E1050 Server,nan,Power System E1050 Server,blue,no_match,Empty or null version
FlashSystem 9500,nan,FlashSystem 9500,blue,no_match,Empty or null version
Business Automation Workflow,25.0.0,Business Automation Workflow,green,substring,"Substring match: found 'business automation workflow' in 'ibm business automation workflow', version='25.0.x'"
Storage Protect for Virtual Environments,8.1,Storage Protect for Virtual Environments,green,substring,"Substring match: found 'storage protect for virtual environments' in 'ibm storage protect for virtual environments', version='8.1.x'"
TS1080 Tape Drive,nan,TS1080 Tape Drive,blue,no_match,Empty or null version
FlashSystem 9600,nan,FlashSystem 9600,blue,no_match,Empty or null version
Nexus 9200 FX3 Switch for IBM System Storage,nan,Nexus 9200 FX3 Switch for IBM System Storage,blue,no_match,Empty or null version
Storwize V5000,Unknown,Storwize V5000,blue,no_match,"No match found for product 'Storwize V5000' (mapped from 'Storwize V5000'), version 'unknown'"
TS3500 Tape Library,nan,TS3500 Tape Library,blue,no_match,Empty or null version
Hardware Management Console Application,V10 R3 M1063,Hardware Management Console Application,blue,no_match,"No match found for product 'Hardware Management Console Application' (mapped from 'Hardware Management Console Application'), version 'v10 r3 m1063'"
watsonx BI as a Service,nan,watsonx BI as a Service,blue,no_match,Empty or null version
QRadar SIEM,7.5.0.12,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
Terminals for Attractive Customer Experience Keyboard,nan,Terminals for Attractive Customer Experience Keyboard,blue,no_match,Empty or null version
"Db2 Linux, Unix and Windows",12.1,"Db2 Linux, Unix and Windows",blue,no_match,"No match found for product 'Db2 Linux, Unix and Windows' (mapped from 'Db2 Linux, Unix and Windows'), version '12.1'"
Instana Observability,SaaS,Instana Observability,blue,no_match,"No match found for product 'Instana Observability' (mapped from 'Instana Observability'), version 'saas'"
Cognos Analytics,12.1.0,IBM Cognos Analytics,green,exact,"Exact match: product='ibm cognos analytics', version='12.1.x'"
QRadar SIEM,7.5.0.7,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
Sterling Connect Direct,C:D UNIX 6.3,IBM Sterling Connect:Direct for UNIX,blue,no_match,"No match found for product 'IBM Sterling Connect:Direct for UNIX' (mapped from 'Sterling Connect Direct'), version 'c:d unix 6.3'"
TS1155 Tape Drive,nan,TS1155 Tape Drive,blue,no_match,Empty or null version
Retail Systems,nan,Retail Systems,blue,no_match,Empty or null version
Storwize V7000,8.4,Storwize V7000,blue,no_match,"No match found for product 'Storwize V7000' (mapped from 'Storwize V7000'), version '8.4'"
License Metric Tool,9.2.43,License Metric Tool,green,substring,"Substring match: found 'license metric tool' in 'ibm license metric tool', version='9.2.x'"
Cloud Object Storage,3.19.5.53,Cloud Object Storage,blue,no_match,"No match found for product 'Cloud Object Storage' (mapped from 'Cloud Object Storage'), version '3.19.5.53'"
DataPower,10.5.0,DataPower,orange,substring,"Substring match: found 'datapower' in 'ibm datapower gateway x2', version='10.5.x'"
Delivery SCBN Premium,nan,Delivery SCBN Premium,blue,no_match,Empty or null version
SPSS Digital,nan,SPSS Digital,blue,no_match,Empty or null version
Cloud Pak for Business Automation,24.0.1,Cloud Pak for Business Automation,green,substring,"Substring match: found 'cloud pak for business automation' in 'ibm cloud pak for business automation', version='24.0.x'"
Order Management On Cloud,26.2,Order Management On Cloud,green,saas,SaaS product in green dict
QRadar SIEM,7.5.0.11,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
Cloud Pak for Integration,16.1.0,Cloud Pak for Integration,green,substring,"Substring match: found 'cloud pak for integration' in 'ibm cloud pak for integration', version='16.1.0'"
Cloud Pak for Data System,1.0.9.0,Cloud Pak for Data System,red,substring,"Substring match: found 'cloud pak for data system' in 'ibm cloud pak for data system for federal and finance', version='1.0.x'"
Safer Payments,6.6.0,Safer Payments,green,substring,"Substring match: found 'safer payments' in 'ibm safer payments', version='6.6.x'"
Verify Identity Access,V.11.0.0,Verify Identity Access,green,wildcard,Wildcard match: version 'v.11.0.0' matches pattern '11.0.x' in 'ibm verify identity access'
Business Automation Workflow on Cloud,nan,Business Automation Workflow on Cloud,blue,no_match,Empty or null version
Fire Servers,nan,Fire Servers,blue,no_match,Empty or null version
watsonx Orchestrate on IBM Cloud,nan,watsonx Orchestrate on IBM Cloud,blue,no_match,Empty or null version
Cloudera Data Platform Private Cloud,7.1.9,Cloudera Data Platform Private Cloud,red,major.minor,Major.minor match: '7.1.9' matches '7.1.1' in 'cloudera data platform private cloud base with ibm'
Flash Storage System,nan,Flash Storage System,blue,no_match,Empty or null version
PowerVM / VIOS,4.1.2.0,PowerVM,green,major.minor,Major.minor match: '4.1.2.0' matches '4.1.0' in 'powervm'
InfoSphere Virtual Data Pipeline,nan,InfoSphere Virtual Data Pipeline,blue,no_match,Empty or null version
Z OMEGAMON AI for Db2,6.1,Z OMEGAMON AI for Db2,green,substring,"Substring match: found 'z omegamon ai for db2' in 'ibm z omegamon ai for db2', version='6.1'"
MANTA Automated Data Lineage for IBM Cloud Pak for Data,nan,MANTA Automated Data Lineage for IBM Cloud Pak for Data,blue,no_match,Empty or null version
Sterling B2B Integrator,6.2.2,IBM Sterling B2B Integrator,green,substring,"Substring match: found 'ibm sterling b2b integrator' in 'ibm sterling b2b integrator', version='6.2.x'"
Tivoli Monitoring,nan,Tivoli Monitoring,blue,no_match,Empty or null version
webMethods Integration,10.11,webMethods Integration,blue,no_match,"No match found for product 'webMethods Integration' (mapped from 'webMethods Integration'), version '10.11'"
QRadar SIEM,7.5.0.9,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
Catalyst,nan,Catalyst,blue,no_match,Empty or null version
watsonx Orchestrate,nan,watsonx Orchestrate,blue,no_match,Empty or null version
Business Automation Manager Open Editions,8.0.5,Business Automation Manager Open Editions,green,wildcard,Wildcard match: version '8.0.5' matches pattern '8.x' in 'ibm business automation manager open editions'
Power System E950 Server,nan,Power System E950 Server,blue,no_match,Empty or null version
QRadar SIEM,7.5.0.6,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
Maximo Inventory Optimization,nan,Maximo Inventory Optimization,blue,no_match,Empty or null version
z/OS,3.2.0,z/OS,green,exact,"Exact match: product='z/os', version='3.2.0'"
Catalyst Switch,nan,Catalyst Switch,blue,no_match,Empty or null version
FlashSystem 5000,8.7,FlashSystem 5000,blue,no_match,"No match found for product 'FlashSystem 5000' (mapped from 'FlashSystem 5000'), version '8.7'"
FlashSystem 5200,8.7,FlashSystem 5200,blue,no_match,"No match found for product 'FlashSystem 5200' (mapped from 'FlashSystem 5200'), version '8.7'"
Consulting Advantage,nan,Consulting Advantage,blue,no_match,Empty or null version
FlashSystem 9200,nan,FlashSystem 9200,blue,no_match,Empty or null version
SAN Volume Controller,8.7,SAN Volume Controller,blue,no_match,"No match found for product 'SAN Volume Controller' (mapped from 'SAN Volume Controller'), version '8.7'"
FlashSystem 5200,Unknown,FlashSystem 5200,blue,no_match,"No match found for product 'FlashSystem 5200' (mapped from 'FlashSystem 5200'), version 'unknown'"
API Connect,10.0.5,API Connect,green,substring,"Substring match: found 'api connect' in 'ibm api connect', version='10.0.x'"
Storage Insights,nan,Storage Insights,blue,no_match,Empty or null version
