Product Name,Invalid Version String,Reason,Total Tickets Affected
Tivoli Network Manager,4.2.0.23 (Build 361),Matches pattern: \(.*\),137
GSS (GPFS Storage Server),5.0.1 Spectrum Scale RAID for x86 GPFS Storage Server (Lenovo) [EOS 4/30/2022],Too long (78 chars),137
Tivoli Network Manager,4.2.0.15 (Build 163),Matches pattern: \(.*\),125
Python for z/OS,"Open Enterprise Python for z/OS, V3.13",Too many words (6),124
Verify Identity Governance,V.10.0.0 - Identity Manager (ISIM - Appliance),Matches pattern: \(.*\),123
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS v5.1.2,Too long (53 chars),120
Cloud Infrastructure Center,1.2.3 for IBM Z and LinuxONE,Too many words (6),119
PowerHA SystemMirror,"7.1 (EOS, Service Extension)",Matches pattern: \(.*\),111
XL C/C++,"Open XL C/C++ for AIX, V17.1",Too many words (6),109
Sterling Gentran Server,Gentran Server for iSeries - 3.5.0,Too many words (6),108
Storage Scale System Software,Storage Scale System Data Access Edition 5.2.0,Too many words (7),107
IBM i,7.1 [EOS 30 April 2018 Need Service Extension],Too many words (8),104
Tivoli Network Manager,4.2.0.14 (Build 155),Matches pattern: \(.*\),103
Sterling B2B Integrator,6.0.3 (not supported),Matches pattern: \(.*\),101
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS v5.1.2,Too many words (8),101
Cloud Infrastructure Center,1.2.1 for IBM Z and LinuxONE,Too many words (6),99
VM Recovery Manager,VM Recovery Manager for DR v1.7.0,Too many words (6),96
Security Verify Governance,V.10.0.0 - Identity Manager (ISIM - Appliance),Matches pattern: \(.*\),96
COBOL,"COBOL for Linux on x86, V1.2",Too many words (6),95
Z Software Asset Management,8.1 - (Formerly TADz),Matches pattern: \(.*\),95
CICS Transaction Server,CICS TS 5.4 - (EOS 31 Dec 2023),Matches pattern: \(.*\),95
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS 5.1.1,Too many words (8),94
Db2 for z/OS,11 (EOS),Matches pattern: \(.*\),92
CICS Transaction Server,CPSM 5.5 - EOS 30 Sept 2025,Too many words (7),89
VM Recovery Manager,VM Recovery Manager for HA v1.7.0,Too many words (6),89
Apptio,Other - please specify in description,Too many words (6),86
Tivoli Network Manager,4.2.0.11 (build 117),Matches pattern: \(.*\),85
COBOL,"Enterprise COBOL for z/OS, V4.2 (EOS, 04/30/2022)",Matches pattern: \(.*\),84
Debug for z/OS,"15.0.x (EOS, 2024-04-30)",Matches pattern: \(.*\),84
Storage Protect,7.1 (End of Support),Matches pattern: \(.*\),84
Storage Scale System Software,Storage Scale System Data Management Edition 5.2.0,Too many words (7),82
z/VM,7.2.0 (EOS),Matches pattern: \(.*\),79
Enterprise Performance Management,EPM - Quote to Cash (Q2C),Matches pattern: \(.*\),77
XL C/C++,"Open XL C/C++ for AIX, V17.1.1",Too many words (6),77
Sterling Connect Direct,C:D Windows 4.7 (Unsupported),Matches pattern: \(.*\),76
IMS,15.1 (EOS),Matches pattern: \(.*\),75
Sterling Connect Direct,C:D UNIX 4.2 (Unsupported),Matches pattern: \(.*\),73
Tivoli Network Manager,4.2.0.22 (Build 333),Matches pattern: \(.*\),73
Automatic Binary Optimizer,"IBM Automatic Binary Optimizer for z/OS, V2.2.0",Too many words (7),72
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS v5.1.5,Too many words (8),72
Tivoli Network Manager,4.2.0.22 (build 333),Matches pattern: \(.*\),70
VM Recovery Manager,VM Recovery Manager for DR 1.6.0,Too many words (6),69
z/OS,2.1.0 (EOS - Sept 2018),Matches pattern: \(.*\),68
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS v5.1.4,Too long (53 chars),65
File Manager,14.1  (EOS 2024-04-30),Matches pattern: \(.*\),64
IBM i,7.1 and earlier [best effort- need special bid contract],Too long (56 chars),61
Spectrum Control,5.3.x (out of support),Matches pattern: \(.*\),60
Hardware Management Console Application,Early Ship Program Only - HMC,Too many words (6),59
Python for z/OS,"Open Enterprise Python for z/OS, V3.12 (EOS, 4/30/2026)",Too long (55 chars),58
EDB Enterprise Postgres,EDB Postgres Advance Server (EPAS) v13.x,Matches pattern: \(.*\),58
Verify Identity Governance,V.10.0.2 - Identity Manager (ISIM - Container),Matches pattern: \(.*\),58
Application Support Facility,34E (Out of Support - Service Extension Required),Matches pattern: \(.*\),56
CICS Transaction Gateway,9.2 (Distributed) - EOS 30 Sept 2026),Matches pattern: \(.*\),55
TXSeries for Multiplatforms,8.2 (EOS 30 Apr 2024),Matches pattern: \(.*\),54
Cloud Infrastructure Center,1.2.2 for IBM Z and LinuxONE,Too many words (6),54
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS v5.1.5,Too long (53 chars),54
CICS Transaction Gateway,9.2 (z/OS) - EOS 30 Sept 2026),Matches pattern: \(.*\),53
WebSphere Application Server for IBM i,8.5 ND - Please open case with the 'Websphere Application Server' product,Too long (73 chars),53
Enterprise Performance Management,"EPM - Non Production Platforms (Dev, Test, QA)",Matches pattern: \(.*\),53
BACC Cognos On Cloud,IBM Cloud VPC BACC Cognos on Cloud (BCA) PROD Regression Testing,Too long (64 chars),53
EDB Enterprise Postgres,EDB Postgres Advance Server (EPAS) v12.x,Matches pattern: \(.*\),52
CICS Transaction Server,CICS TS 5.3 - (EOS 31 Dec 2021),Matches pattern: \(.*\),52
