Product Name,Invalid Version String,Reason,Total Tickets Affected
Enterprise Performance Management,EPM - IBM Consulting Planning Cube,Too many words (6),6
Engineering Requirements Management DOORS Next,6.0.5 (Ended Support 04/30/2021),Matches pattern: \(.*\),6
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 16, 2024 3:02:17 PM",Too many words (9),6
Rational Developer,"9.0.x (EOS, 2019-04-30)",Matches pattern: \(.*\),6
PL/I,"PL/I for AIX, V3.1 (EOS, 4/30/2027)",Matches pattern: \(.*\),6
Rational Developer,"8.5.x (EOS, 2017-09-30)",Matches pattern: \(.*\),6
Verify Identity Governance,V.11.0.0 - Identity Governance (IGI),Matches pattern: \(.*\),6
Verify Identity Governance,V.10.0.2 - Identity Manager (ISIM),Matches pattern: \(.*\),6
PowerHA SystemMirror,7.1 (EOS 4/30/2023),Matches pattern: \(.*\),6
Rational Change,5.2.x (EOS),Matches pattern: \(.*\),6
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS 5.0.4 (EOS 4/30/2022),Too long (68 chars),6
Storage Protect Plus,"Version 10.1.10 Build: 2772 Oct 3, 2022 5:00:24 PM",Too many words (9),6
Content Manager for iSeries,CM for iSeries R5.3 with valid service extension,Too many words (8),6
IBM i on PowerVS,"7.1 [EOS 30 April 2018 No service, use documentation / forums",Too long (61 chars),6
COBOL,"COBOL for AIX, V4.1 (EOS 4/30/2018)",Matches pattern: \(.*\),6
Engineering Workflow Management,6.0.3 (Ended Support 12/31/2020),Matches pattern: \(.*\),6
Reliable Scalable Cluster Technology (RSCT),7.1 (EOS 4/30/2023),Matches pattern: \(.*\),6
Storage Protect Plus,"Version 10.1.15 Build: 202 Sep 25, 2023 1:54:29 PM",Too many words (9),6
IBM i on Cloud,"7.1 [EOS 30 April 2018 No service, use documentation / forums",Too long (61 chars),6
TXSeries for Multiplatforms,8.1 - (EOS 30 Apr 2020),Matches pattern: \(.*\),6
Storage Scale,5.0.2 (EOS 4/30/2022),Matches pattern: \(.*\),6
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 16, 2024 10:02:17 PM",Too long (51 chars),6
VM Recovery Manager,VM Recovery Manager DR v1.5.0 [EOS: 04/30/2025],Too many words (7),6
CL/SuperSession,1.4.7 (EOS),Matches pattern: \(.*\),5
Python AI Toolkit for z/OS,"Open Enterprise Python for z/OS, V3.12 (EOS, 4/30/2026)",Too long (55 chars),5
Maximo Application Suite on Cloud,9.0 (9.1 Feature Channel),Matches pattern: \(.*\),5
Informix Dynamic Server,OnLine Extended Edition 5.20 (Linux only),Matches pattern: \(.*\),5
XL C/C++,"Open XL C/C++ for Linux on Power, V17.1.1",Too many words (8),5
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS 5.0.4 (EOS 4/30/2022),Too long (64 chars),5
z Workload Scheduler,Older (extension required),Matches pattern: \(.*\),5
TXSeries for Multiplatforms,8.1 (EOS 30 Apr 2020),Matches pattern: \(.*\),5
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS 5.0.1 (EOS 4/30/2022),Too long (64 chars),5
WebSphere Application Server for IBM i,"7.0 [EOS} No Support , search docs and forums",Too many words (9),5
Sterling B2B Integrator,5.2.5 (not supported),Matches pattern: \(.*\),5
Engineering Lifecycle Optimization Publishing,6.0.6.1 (Ended Support 10/31/2022),Matches pattern: \(.*\),5
Content Manager,8.5 (Out of Support),Matches pattern: \(.*\),5
Storage Scale,5.0.0 (EOS 4/30/2022),Matches pattern: \(.*\),5
Open Enterprise SDK for Go,"Open Enterprise SDK for Go, V1.22",Too many words (6),5
Application Delivery Foundation Common Component,180 (EOS 2024-04-30),Matches pattern: \(.*\),5
Storage Scale,5.0.1 Spectrum Scale RAID for x86 GPFS Storage Server (Lenovo) [EOS 4/30/2022],Too long (78 chars),5
Informix Dynamic Server,Standard Engine (SE) 7.25,Matches pattern: \(.*\),5
Hardware Management Console Application,7.1 (EOS 4/30/2023),Matches pattern: \(.*\),4
CICS Transaction Gateway,8.1 - EOS 30 Sept 2017,Too many words (6),4
AIX,Early Ship Program - Graphics Card,Too many words (6),4
Storage Protect Plus,Versão 10.1.16 Construção: 502 4 de jun de 2024 13:01:33,Too long (56 chars),4
Storage Protect Plus,"10.1.16 Build: 607 Dec 17, 2024",Too many words (6),4
Cloud Infrastructure Center,1.1.6 for IBM Z and LinuxONE,Too many words (6),4
Watson Explorer,IBM Watson Explorer Deep Analytics Edition V12.0.3.15 (5725-I17),Too long (64 chars),4
z Workload Scheduler,8.6 (extension required),Matches pattern: \(.*\),4
Open Enterprise SDK for Go,"Open Enterprise SDK for Go, V1.23",Too many words (6),4
App Connect Professional,"(For older versions, please select the Cast Iron product)",Too long (57 chars),4
Fault Analyzer,13.1 (EOS 2019-09-30),Matches pattern: \(.*\),4
CICS Transaction Gateway,9.2 (z/OS),Matches pattern: \(.*\),4
Storage Protect Plus,10.1.16.3 (10.1.16-542),Matches pattern: \(.*\),4
Engineering Lifecycle Management Base SaaS,7.0.1 (Ended Support 9/30/2023),Matches pattern: \(.*\),4
Storage Protect Plus,"Version 10.1.16 Build: 502 Jun 4, 2024 5:01:33 PM",Too many words (9),4
COBOL,3.2 (RBP clients only),Matches pattern: \(.*\),4
COBOL,"Enterprise COBOL Developer Trial for z/OS, V6.3 (EOS, 9/30/2023)",Too long (64 chars),4
Enterprise Data Platform,EDP: Unified Ingestion Framework (UIF),Matches pattern: \(.*\),4
QRadar Applications,7.2.x (EOS),Matches pattern: \(.*\),4
OMEGAMON Performance Management Suite,5.3.0 (Note:  09/30/2020 EoS),Matches pattern: \(.*\),4
Red Hat Enterprise Linux Server,Early Ship Program Only - Linux,Too many words (6),4
Storage Protect for Space Management,7.1 (End of Service),Matches pattern: \(.*\),4
CICS Transaction Gateway,9.0 - EOS 30 April 2020,Too many words (6),4
Sterling Partner Engagement Manager,6.0.2 (not supported),Matches pattern: \(.*\),4
Storage Protect Plus,"Version 10.1.15 Build: 148 Jun 5, 2023 3:40:44 PM",Too many words (9),4
Engineering Lifecycle Management Base SaaS,7.0.0 (Ended Support 10/31/2022),Matches pattern: \(.*\),4
Security ReaQta,0.80.1 (Linux),Matches pattern: \(.*\),4
Cognos Controller,10.2.1 (EOS),Matches pattern: \(.*\),4
Storage Protect Plus,Version 10.1.15 Build: 164 Jul 31,Too many words (6),4
Storage Protect Plus,"Version 10.1.16 Build: 330 Jan 19, 2024 3:11:16 AM",Too many words (9),4
Sterling B2B Integrator,5.2.1 (not supported),Matches pattern: \(.*\),4
z/VM,6.4.0 (EOS),Matches pattern: \(.*\),4
Rational Developer,"9.1.x (EOS, 2019-04-30)",Matches pattern: \(.*\),4
Storage Protect Plus,"Version 10.1.16 Build: 330 Jan 18, 2024 9:11:16 PM",Too many words (9),3
z Open Unit Test,"2.0.x (EOS, 2021-04-30)",Matches pattern: \(.*\),3
Storage Scale Erasure Code Edition,Storage Scale System Software Data Management Edition v5.1.9,Too long (60 chars),3
Storage Protect Plus,Versión 10.1.16 Compilación: 470 6 de mar. de 2024 18:31:39,Too long (59 chars),3
SDK for Node.js,"SDK for Node.js - z/OS, V18.0 (EOS, 4/30/2025)",Matches pattern: \(.*\),3
z Development and Test Environment,"9.0.x (EOS, 2018-09-30)",Matches pattern: \(.*\),3
Dependency Based Build,"1.0.x (EOS, 2023-04-30)",Matches pattern: \(.*\),3
Python for z/OS,"Open Enterprise Python for z/OS, V3.9 (EOS, 4/30/2024)",Too long (54 chars),3
QRadar Log Manager,7.2.x (EOS),Matches pattern: \(.*\),3
z/VSE,6.2.0 (unsupported  since 2024/12/31),Matches pattern: \(.*\),3
Storage Protect Plus,Versão 10.1.15 Construção: 198 31 de ago de 2023,Too many words (9),3
Storage Protect Plus,"Version 10.1.14 Build: 217 May 2, 2023 4:58:43 PM",Too many words (9),3
Storage Protect Plus,"Version 10.1.10 Build: 2772 Oct 3, 2022 8:30:24 PM",Too many words (9),3
IMS Fast Path Solution Pack for z/OS,15.3 (EOS 31 August 2026),Matches pattern: \(.*\),3
Storage Protect Plus,Version 10.1.16 Build: 470 6. März 2024 19:31:39,Too many words (8),3
Storage Protect Plus,"Version 10.1.16 Build: 502 Jun 4, 2024",Too many words (7),3
Application Performance Analyzer,1.8.0 (EOS 2024-04-30),Matches pattern: \(.*\),3
Z Open Automation Utilities,1.1.0 (EOS),Matches pattern: \(.*\),3
Sterling Connect Direct,C:D HP NonStop 3.5 (Unsupported),Matches pattern: \(.*\),3
IBM i Lab Services,Gentran Server for iSeries - 3.6.0,Too many words (6),3
Verify Identity Governance,V.11.0.0 - Identity Manager (ISIM - Container),Matches pattern: \(.*\),3
z Workload Scheduler,2.3.0 (EOS - Sept 2022),Matches pattern: \(.*\),3
Storage Scale System Software,5.0.1 Spectrum Scale RAID for x86 GPFS Storage Server (Lenovo) [EOS 4/30/2022],Too long (78 chars),3
Engineering Lifecycle Management Extended SaaS,6.0.5 (Ended Support 10/31/2022),Matches pattern: \(.*\),3
Fault Analyzer,14.1  (EOS 2024-04-30),Matches pattern: \(.*\),3
Verify Identity Access,V.10.0.2 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),3
IBM i on PowerVS,"7.1 and earlier [best effort, need special bid contract]",Too long (56 chars),3
Open Enterprise SDK for Node.js,"SDK for Node.js - z/OS, V18.0 (EOS, 4/30/2025)",Matches pattern: \(.*\),3
Z Decision Support,1.8.1 (EoS = 2022-04-30),Matches pattern: \(.*\),3
Netcool/OMNIbus,4.2.0.19 (Build 253),Matches pattern: \(.*\),3
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS 5.0.2 (EOS 4/30/2022),Too long (64 chars),3
Storage Protect Plus,"Version 10.1.15 Build: 198 Aug 31, 2023 1:57:49 AM",Too many words (9),3
Key Lifecycle Manager,"Other Non-DS8000 (includes SVC, XIV, FlashSystems & Storwize)",Too long (61 chars),3
Storage Protect Plus,Version 10.1.16 Build: 607 16. Dez. 2024 21:02:17,Too many words (8),3
Netcool/OMNIbus,4.2.0.3 (build 34),Matches pattern: \(.*\),3
License Metric Tool,6.0.2 (not supported),Matches pattern: \(.*\),3
Storage Protect Plus,"Version: Version 10.1.16 Build: 607 Dec 16, 2024 9:02:17 PM",Too long (59 chars),3
Tivoli Composite Application Manager for Transactions for z/OS,7.3.0 (Note:  04/30/2020 EoS),Matches pattern: \(.*\),3
WebSphere Application Server,V.10.0.2 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),3
Storage Protect Plus,Version 10.1.16 Build: 607 Dec 17,Too many words (6),3
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS 5.0.3 (EOS 4/30/2022),Too long (64 chars),3
Tivoli Network Manager,4.2.0.1 (build 19),Matches pattern: \(.*\),3
OMEGAMON for Messaging on z/OS,7.1.0 (Note:  10/31/2019 EoS),Matches pattern: \(.*\),3
XL C/C++,"XL C/C++ for AIX, V11.1 (EOS 4/30/2019)",Matches pattern: \(.*\),3
Developer for z/OS HLL/WB,"15.0.x (EOS, 2024-04-30)",Matches pattern: \(.*\),3
Engineering Test Management,6.0.6.1 (Ended Support 10/31/2022),Matches pattern: \(.*\),3
PL/I,"Enterprise PL/I for z/OS, V4.5 (EOS 4/30/2020)",Matches pattern: \(.*\),3
z/OS,1.12.0 (EOS),Matches pattern: \(.*\),3
Content Navigator and Content Navigator Mobile App,2.0.3.8 (Out Of Support),Matches pattern: \(.*\),3
SDK for Node.js,"SDK for Node.js - z/OS, V16.0",Too many words (6),3
Rational Licensing,7.3 [EOS 30 Sep 2023 Need Service Extension],Too many words (8),3
Sterling File Gateway,2.2.6 (not supported),Matches pattern: \(.*\),3
Storage Protect Plus,Version 10.1.15 Build: 214 Oct 27,Too many words (6),3
Storage Protect Plus,"Version 10.1.15 Build: 214 Oct 27, 2023 4:27:43 PM",Too many words (9),3
IMS,11.0 (EOS),Matches pattern: \(.*\),3
Storage Scale Erasure Code Edition,Spectrum Scale Data Access Edition for ESS 5.0.0 (EOS 4/30/2022),Too long (64 chars),3
Verify Identity Governance,V.11.0.0 - Identity Manager (ISIM - Appliance),Matches pattern: \(.*\),3
XL Fortran,"Open XL Fortran for AIX, V17.1",Too many words (6),2
Storage Protect Plus,"Version 10.1.17 Build: 152 Mar 20, 2025 3:35:44 PM",Too many words (9),2
Watson Explorer,12.0.3 (FP16),Matches pattern: \(.*\),2
Storage Protect Plus,Version 10.1.16 Build: 607 16 de dic. de 2024 16:02:17,Too long (54 chars),2
Watson Explorer,12.0.3.9 (12.9.117+863),Matches pattern: \(.*\),2
Engineering Test Management,6.0.6 (Ended Support 10/31/2022),Matches pattern: \(.*\),2
Storage Scale Erasure Code Edition,5.0.4 (EOS 4/30/2022),Matches pattern: \(.*\),2
Engineering Test Management,7.0.0 (Ended Support 10/31/2022),Matches pattern: \(.*\),2
QRadar SIEM SaaS,7.2.x (EOS),Matches pattern: \(.*\),2
Sterling File Gateway,C:D UNIX 6.0 (Unsupported),Matches pattern: \(.*\),2
Z Open Automation Utilities,1.0.3 (EOS),Matches pattern: \(.*\),2
Storage Protect Plus,IBM Spectrum Protect Plus  10.1.15 build [ 148 ],Too many words (9),2
PowerVC for Private Cloud,Early Ship Program Only - PowerVC for Private Cloud,Too long (51 chars),2
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 16, 2024 8:02:17 PM",Too many words (9),2
PowerVM / VIOS,VM Recovery Manager for DR v1.8.0,Too many words (6),2
Sterling Connect Direct,C:D OpenVMS 3.5 (Unsupported),Matches pattern: \(.*\),2
Storage Scale,Spectrum Scale Data Access Edition for ESS v5.1.5,Too many words (8),2
Storage Protect Plus,"IBM Spectrum Protect Plus Version 10.1.11 Build: 3010 Jun 23, 2022",Too long (66 chars),2
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 17,",Too many words (6),2
Storage Scale,Storage Scale System Data Access Edition v5.2.3,Too many words (7),2
COBOL,2.3.0 (EOS - Sept 2022),Matches pattern: \(.*\),2
COBOL,"COBOL Runtime Environment for AIX, V5.1 (EOS, 4/30/2027)",Too long (56 chars),2
SAN Volume Controller,7.3 [EOS 30 Sep 2023 Need Service Extension],Too many words (8),2
Db2 Analytics Accelerator for z/OS,4.1.0 (EOS),Matches pattern: \(.*\),2
z/OS,"Enterprise COBOL for z/OS, V6.3 (EOS, 9/30/2025)",Matches pattern: \(.*\),2
Db2 Analytics Accelerator for z/OS,7.1.0 (EOS),Matches pattern: \(.*\),2
Storage Protect Plus,"10.1.16 Build: 607 Dec 17, 2024 1:32:17 AM",Too many words (8),2
WebSphere Application Server,9.5 (Extended Support Only),Matches pattern: \(.*\),2
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 17, 202",Too many words (7),2
Developer for z/OS,"16.0.x (EOS, 2026-04-30)",Matches pattern: \(.*\),2
Screen Definition Facility II,CICS TS 5.5 - EOS 30 Sept 2025,Too many words (8),2
Developer for z/OS,"9.1.x (EOS, 2019-04-30)",Matches pattern: \(.*\),2
PL/I,3.2 (RBP clients only),Matches pattern: \(.*\),2
Storage Scale,7.1 (EOS 4/30/2023),Matches pattern: \(.*\),2
RMF Reporter,3.2 (RBP clients only),Matches pattern: \(.*\),2
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 17, 2024 1:32:17",Too many words (8),2
Storage Protect Plus,"Version 10.1.16 Build: 502 Jun 4, 2024 9:31:33 PM",Too many words (9),2
z/OS,"Open Enterprise Python for z/OS, V3.13",Too many words (6),2
AIX on PowerVS,Early Ship Program Only - AIX on PowerVS,Too many words (8),2
DataRefresher,1.1.0 (EOS),Matches pattern: \(.*\),2
CICS Transaction Gateway,9.1 (Distributed) - EOS 30 April 2024,Matches pattern: \(.*\),2
Storage Protect Plus,"Version 10.1.16 Build: 542 Aug 22, 2024 1:40:34 PM",Too many words (9),2
Db2 Analytics Accelerator for z/OS,510 (EOS),Matches pattern: \(.*\),2
Storage Protect Plus,"Version 10.1.10 Build: 2773 Nov 29, 2022 8:54:21 AM",Too long (51 chars),2
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS 5.0.1 (EOS 4/30/2022),Too long (68 chars),2
Storage Protect Plus,"Version 10.1.17 Build: 271 Jun 12, 2025 4:12:46 PM",Too many words (9),2
PowerVM / VIOS,7.1 (EOS 4/30/2023),Matches pattern: \(.*\),2
Db2 for z/OS,"Open Enterprise Python for z/OS, V3.13",Too many words (6),2
Workload Scheduler Distributed Agent for z/OS,8.6 (extension required),Matches pattern: \(.*\),2
WebSphere Application Server,9.0 ND - Please open case with the 'Websphere Application Server' product,Too long (73 chars),2
QRadar Appliance Hardware,7.2.x (EOS),Matches pattern: \(.*\),2
CICS Transaction Gateway,9.1 (z/OS) - EOS 30 April 2022,Matches pattern: \(.*\),2
On Demand Consulting for Analytics,Watson Explorer (v12+),Matches pattern: \(.*\),2
Planning Analytics Local,10.2.1 (TM1 EOS/CS),Matches pattern: \(.*\),2
Application Performance Analyzer,"14.1.x (EOS, 2021-04-30)",Matches pattern: \(.*\),2
Debug for z/OS,"12.1.x (EOS, 2018-02-28)",Matches pattern: \(.*\),2
Storage Protect Plus,Versión 10.1.15 Compilación: 214 27 de oct. de 2023 17:27:43,Too long (60 chars),2
Content Manager,8.4 (Out of Support),Matches pattern: \(.*\),2
Storage Scale Erasure Code Edition,5.0.3 (EOS 4/30/2022),Matches pattern: \(.*\),2
Storage Protect Plus,"Version 10.1.15 Build: 214 Oct 27, 2023 6:27:43 PM",Too many words (9),2
Storage Scale,5.0.1 (EOS 4/30/2022),Matches pattern: \(.*\),2
Sterling B2B Integrator,5.2.4 (not supported),Matches pattern: \(.*\),2
Debug for z/OS,"14.0.x (EOS, 2019-09-30)",Matches pattern: \(.*\),2
SUSE Linux Enterprise Server,Early Ship Program Only - SLES,Too many words (6),2
z/OS,1.08.0 (EOS),Matches pattern: \(.*\),2
XL Fortran,"XL Fortran for AIX, V15.1 (EOS, 09/30/2022)",Matches pattern: \(.*\),2
Sterling Call Center,9.3 (Extended Support Only),Matches pattern: \(.*\),2
Cognos Planning,10.1.1 (EOS),Matches pattern: \(.*\),2
Engineering Workflow Management,6.0.4 (Ended Support 04/30/2021),Matches pattern: \(.*\),2
Engineering Workflow Management,6.0.0 (Ended Support 12/31/2020),Matches pattern: \(.*\),2
Engineering Test Management,7.0.1 (Ended Support 9/30/2023),Matches pattern: \(.*\),2
"ACF/VTAM (VM,VSE)",4.2.0 z/VSE (EOS since 2023/09/30),Matches pattern: \(.*\),2
RMF Reporter,2.2.0 (EOS - Sept 2020),Matches pattern: \(.*\),2
Storage Protect Plus,"Version 10.1.15 Build: 202 Sep 25, 2023 2:54:29 PM",Too many words (9),2
TCP/IP FOR VSE,TCP/IP for z/VSE 2.2 (EOS since 2023/09/30),Matches pattern: \(.*\),2
IMS,14.1 (EOS),Matches pattern: \(.*\),2
SDK for Node.js,"SDK for Node.js - z/OS, V8.0 (EOS, 9/30/2021)",Matches pattern: \(.*\),2
Storage Protect Plus,Versión 10.1.16 Compilación: 542 22 de ago. de 2024 13:40:34,Too long (60 chars),2
Enterprise Performance Management,EPM - Enterprise Reference Data Manager (ERDM),Matches pattern: \(.*\),2
Storage Scale Erasure Code Edition,Storage Scale System Software Data Access Edition v5.1.9,Too long (56 chars),2
Storage Protect Plus,Versão 10.1.16 Construção: 542 22 de ago de 2024 09:40:34,Too long (57 chars),2
Z OMEGAMON AI for CICS,5.1.0 (Note:  10/31/2019 EoS),Matches pattern: \(.*\),2
Workload Scheduler Distributed Agent for z/OS,9.3 (extension required),Matches pattern: \(.*\),2
z/OS,"Open Enterprise Python for z/OS, V3.12 (EOS, 4/30/2026)",Too long (55 chars),2
Storage Scale,Spectrum Scale Data Access Edition for ESS 5.1.1,Too many words (8),2
Storage Protect Plus,"Version 10.1.16 Build: 330 Jan 19, 2024 2:11:16 AM",Too many words (9),2
Storage Protect Plus,Unable to add vSnap servers from DR site – incorrect username or password error,Too long (79 chars),2
Tivoli Netcool Configuration Manager,4.2.0.23 (Build 361),Matches pattern: \(.*\),2
Storage Protect Plus,"10.1.16 Build: 607 Dec 16, 2024 10:02:17 PM",Too many words (8),2
Informix Dynamic Server,XPS 8.x (all versions),Matches pattern: \(.*\),2
Storage Protect Plus,IBM Spectrum Protect Plus 10.1.13 Build: 209,Too many words (7),2
Key Lifecycle Manager,Storage Scale System Data Management Edition v5.2.2,Too long (51 chars),2
WebSphere Application Server,7.1 (EOS 4/30/2023),Matches pattern: \(.*\),2
Storage Protect Plus,Version 10.1.7 Build: 3043 30. Okt. 2020 17:41:45,Too many words (8),2
SPSS Licensing,Faculty Pack for SPSS Statistics Premium v31,Too many words (7),2
z/OS,"16.0.x (EOS, 2026-04-30)",Matches pattern: \(.*\),1
Storage Protect Plus,Version 10.1.16 Build: 607 16 de dic. de 2024 15:02:17,Too long (54 chars),1
Watson Explorer,12.0.3.21 - Module Release Version	 12.10.104+145,Too many words (6),1
Storage Protect Plus,Version 10.1.16 Build: 502 4 de jun. de 2024 13:01:33,Too long (53 chars),1
Engineering Workflow Management,7.0.0 (Ended Support 10/31/2022),Matches pattern: \(.*\),1
z Workload Scheduler,9.1 (extension required),Matches pattern: \(.*\),1
Watson Explorer,12.0.3.19-WS-WatsonExplorer-DAEAnalytical-Linux-FP019,Too long (53 chars),1
AFP Toolbox for MVS,2.4.0 (EOS - Sept 2024),Matches pattern: \(.*\),1
Open Enterprise SDK for Go,"Open Enterprise SDK for Go, V1.25",Too many words (6),1
FlashSystem 5000,7.1 [EOS 30 April 2018 Need Service Extension],Too many words (8),1
CICS Transaction Server,CICS TS 4.2  - (EOS 30 Sep 2018),Matches pattern: \(.*\),1
License Metric Tool,10.2.0 (EOS),Matches pattern: \(.*\),1
Hardware Management Console Application,7.3 [EOS 30 Sep 2023 Need Service Extension],Too many words (8),1
Application Discovery and Delivery Intelligence,"Application Discovery and Delivery Intelligence 6.0.0 (EOS, 2023-09-30)",Too long (71 chars),1
Engineering Lifecycle Management Base,6.0.3 (Ended Support 12/31/2020),Matches pattern: \(.*\),1
Planning Analytics Local,10.2.2 (TM1 EOS/CS),Matches pattern: \(.*\),1
XL C/C++,z/OS XL C/C++ V2R2 (EOS 9/30/2020),Matches pattern: \(.*\),1
COBOL,"Enterprise COBOL Developer Trial for z/OS, V6.3",Too many words (7),1
PL/I,"Enterprise PL/I for z/OS, V5.1(EOS, 9/30/2022)",Matches pattern: \(.*\),1
Storage Protect Plus,"10.1.10 Build: 2709 Apr 25, 2022 5:36:41 PM",Too many words (8),1
Storage Protect Plus,"Version 10.1.13 Build: 194 Nov 30, 2022 11:02:20 PM",Too long (51 chars),1
XL C/C++,"XL C for AIX, V12.1 (EOS 4/30/2020)",Matches pattern: \(.*\),1
Storage Protect Plus,Spectrum Protect Plus Version 10.1.7 Build:3103,Too many words (6),1
Spectrum Scale for DSS (Distributed Storage Solutions),5.0.4 (EOS 4/30/2022),Matches pattern: \(.*\),1
Storage Scale Erasure Code Edition,5.0.2 (EOS 4/30/2022),Matches pattern: \(.*\),1
XL C/C++,"XL C/C++ for AIX, V12.1 (EOS 4/30/2020)",Matches pattern: \(.*\),1
Storage Protect Plus,"Version 10.1.16 Build: 470 Mar 7, 2024 12:01:39 AM",Too many words (9),1
COBOL,"Enterprise COBOL for z/OS, V5.2 (EOS 4/30/2020)",Matches pattern: \(.*\),1
AIX on Cloud,"Open Enterprise Python for z/OS, V3.11",Too many words (6),1
XL C/C++,"XL C/C++ for Linux on z Systems, V1.1 (EOS 9/30/2018)",Too long (53 chars),1
Storage Protect Plus,(the recommended version),Matches pattern: \(.*\),1
Db2 Connect,7.3 [EOS 30 September 2023 Need Service Extension],Too many words (8),1
Spectrum Scale for DSS-G (Distributed Storage Solutions),5.0.4 (EOS 4/30/2022),Matches pattern: \(.*\),1
Open Enterprise SDK for Go,"Open Enterprise SDK for Go, V1.19 (EOS, 4/30/2025)",Matches pattern: \(.*\),1
File Manager,13.1  (EOS 2019-09-30),Matches pattern: \(.*\),1
Video Analytics,1.0.6 (Video Analytics),Matches pattern: \(.*\),1
Cloud Infrastructure Center,1.1.4 for IBM Z and LinuxONE,Too many words (6),1
Storage Protect Plus,"Version 10.1.12 Build: 400 Jan 3, 2023 7:26:36 PM",Too many words (9),1
Storage Protect Plus,"10.1.15 Build: 214 Oct 27, 2023 5:27:43 PM",Too many words (8),1
Storage Protect Plus,IBM Spectrum Protect Plus version 10.1.11,Too many words (6),1
VM Recovery Manager,VM Recovery Manager for DR v1.4.0,Too many words (6),1
Sterling Partner Engagement Manager,6.1.0 (not supported),Matches pattern: \(.*\),1
COBOL,"COBOL Runtime Environment for AIX, V5.1",Too many words (6),1
Counter Fraud Management,2.0.0.1 (EOS),Matches pattern: \(.*\),1
Storage Protect Plus,"Version 10.1.16 Build: 502 Jun 4, 2024 6:01:33 PM",Too many words (9),1
Storage Protect Plus,IBM Spectrum Protect Plus version 10.1.6-2045,Too many words (6),1
CICS Transaction Gateway,8.1 - (EOS 30 Sep 2017),Matches pattern: \(.*\),1
Engineering Lifecycle Optimization Publishing,7.0.1 (Ended Support 9/30/2023),Matches pattern: \(.*\),1
Storage Protect Plus,SPP version - Version 10.1.16 Build: 502,Too many words (7),1
Storage Protect Plus,"Version 10.1.15 Build: 198 Aug 31, 2023 10:27:49 AM",Too long (51 chars),1
PowerVM / VIOS,7.2 [EOS 30 April 2021 Need Service Extension],Too many words (8),1
MQ Appliance,7.3 [EOS 30 September 2023 Need Service Extension],Too many words (8),1
Security Verify Directory,V.10.0.0 - Identity Manager (ISIM - Appliance),Matches pattern: \(.*\),1
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS 5.0.0 (EOS 4/30/2022),Too long (68 chars),1
Storage Protect Plus,"Version 10.1.15 Build: 214 Oct 27, 2023 12:27:43 PM",Too long (51 chars),1
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS 5.0.2 (EOS 4/30/2022),Too long (68 chars),1
Storage Protect Plus,Version 10.1.16 Build: 502 4. Juni 2024 18:01:33,Too many words (8),1
Storage Protect Plus,VSNAP VERSION: 10.1.16-105 // Version 10.1.16 Build: 542,Too long (56 chars),1
Storage Protect Plus,Version 10.1.16 Build: 502 Jun 4,Too many words (6),1
Tivoli Monitoring,7.1 (EOS 4/30/2023),Matches pattern: \(.*\),1
Storage Scale,Storage Scale System Software Data Management Edition v5.1.9,Too long (60 chars),1
Storwize V7000,VM Recovery Manager for DR v1.8.0,Too many words (6),1
Sterling Secure Proxy,3.4.2 (Unsupported),Matches pattern: \(.*\),1
Netcool/OMNIbus,4.2.0.12 (build 128),Matches pattern: \(.*\),1
Content Manager for iSeries,WAF 5.3 with valid service extension,Too many words (6),1
XL C/C++,"XL C/C++ for Linux, V13.1 (EOS 4/30/2022)",Matches pattern: \(.*\),1
Storage Protect,7.1.1.0 (End of Support),Matches pattern: \(.*\),1
Cognos TM1,10.2.0 (EOS),Matches pattern: \(.*\),1
Storage Protect,7.1.4.100 (End of Support),Matches pattern: \(.*\),1
XL C/C++,"XL C for AIX, V11.1 (EOS 4/30/2019)",Matches pattern: \(.*\),1
WebSphere Application Server,V.10.0.0 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),1
Netcool/OMNIbus,4.2.0.8 (build 84),Matches pattern: \(.*\),1
Python for z/OS,"Open Enterprise Python for z/OS, V3.8 (EOS, 9/30/2022)",Too long (54 chars),1
Security ReaQta,1.0.0 (MacOS),Matches pattern: \(.*\),1
BACC Cognos Alpha,User Acceptance Testing (UAT),Matches pattern: \(.*\),1
Tivoli Monitoring,4.2.0.5 (build 60),Matches pattern: \(.*\),1
Python for z/OS,"Open Enterprise SDK for Go, V1.22",Too many words (6),1
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS 5.0.3 (EOS 4/30/2022),Too long (68 chars),1
