original_product,mapped_product,version,normalized_versions,found_in,matched_version,is_blue
Host Access Client Package,Host Access Client Package for Multiplatforms,Host Access Client Package,host access client package,NOT FOUND,N/A,True
FileNet Image Services,FileNet Image Services,FileNet Image Services,filenet image services,NOT FOUND,N/A,True
Rational Developer for i,Rational Developer for i,Rational Developer for i,rational developer for i,NOT FOUND,N/A,True
Rational Developer for i,Rational Developer for i,Rational Developer for i,rational developer for i,NOT FOUND,N/A,True
Symmetrix,Symmetrix,Symmetrix,symmetrix,NOT FOUND,N/A,True
TS1150 Tape Drive,TS1150 Tape Drive,TS1150 Tape Drive,ts1150 tape drive,NOT FOUND,N/A,True
Encoder,Encoder,Encoder,encoder,NOT FOUND,N/A,True
NS1 Connect,NS1 Connect,NS1 Connect,ns1 connect,NOT FOUND,N/A,True
BACC Planning Analytics (PA),BACC Planning Analytics (PA),BACC Support,bacc support,NOT FOUND,N/A,True
TPF,TPF,z/TPF,z/tpf,NOT FOUND,N/A,True
Thermal Printer,Thermal Printer,Thermal Printer,thermal printer,NOT FOUND,N/A,True
Uninterruptible Power Supply,Uninterruptible Power Supply,Uninterruptible Power Supply,uninterruptible power supply,NOT FOUND,N/A,True
zSingle Next,zSingle Next,unassigned,unassigned,NOT FOUND,N/A,True
Backup and Restore Manager z/VM,Backup and Restore Manager z/VM,IBM Backup and Restore Manager for zVM,ibm backup and restore manager for zvm,NOT FOUND,N/A,True
XL Fortran,XL Fortran,XL Fortran,xl fortran,NOT FOUND,N/A,True
Unknown Product,Unknown Product,Unknown Product,unknown product,NOT FOUND,N/A,True
Unity EdgeConnect Appliances,Unity EdgeConnect Appliances,unassigned,unassigned,NOT FOUND,N/A,True
Debug for z/OS,Debug for z/OS,Debug for z/OS,debug for z/os,NOT FOUND,N/A,True
Cognos Controller,Cognos Controller,Cognos Controller,cognos controller,NOT FOUND,N/A,True
Integrated Analytics Systems,Integrated Analytics Systems,Integrated Analytics System,integrated analytics system,NOT FOUND,N/A,True
QRadar SIEM SaaS,QRadar SIEM SaaS,QRadar SIEM SaaS,qradar siem saas,NOT FOUND,N/A,True
US Postal Service Kiosk,US Postal Service Kiosk,US Postal Service Kiosk,us postal service kiosk,NOT FOUND,N/A,True
Sterling B2B Integration SaaS Essentials and Standard,Sterling B2B Integration SaaS Essentials and Standard,Sterling B2B Integration Saas Essentials and Standard,sterling b2b integration saas essentials and standard,NOT FOUND,N/A,True
StreamSets,StreamSets,StreamSets,streamsets,NOT FOUND,N/A,True
IMS,IMS,IMS,ims,NOT FOUND,N/A,True
z/VM,z/VM,VM BATCH,vm batch,NOT FOUND,N/A,True
System Storage Device Enclosure,System Storage Device Enclosure,System Storage Device Enclosure,system storage device enclosure,NOT FOUND,N/A,True
Netezza as a Service,Netezza as a Service,Netezza as a Service,netezza as a service,NOT FOUND,N/A,True
Data Virtualization Manager,Data Virtualization Manager,Data Virtualization Manager,data virtualization manager,NOT FOUND,N/A,True
ATMs,ATMs,9600 Series Automated Teller Machines,9600 series automated teller machines,NOT FOUND,N/A,True
WebSphere Liberty,WebSphere Liberty,unassigned,unassigned,NOT FOUND,N/A,True
ThinkSystem SR V2 Series Server,ThinkSystem SR V2 Series Server,unassigned,unassigned,NOT FOUND,N/A,True
Wyse Thin Client,Wyse Thin Client,Wyse Thin Client,wyse thin client,NOT FOUND,N/A,True
Watson Discovery,Watson Discovery,Watson Discovery,watson discovery,NOT FOUND,N/A,True
Workload Automation,Workload Automation,Workload Automation,workload automation,NOT FOUND,N/A,True
TS3200 Tape Library,TS3200 Tape Library,TS3200 Tape Library,ts3200 tape library,NOT FOUND,N/A,True
Power System L1022 Server,Power System L1022 Server,Power System L1022 Server,power system l1022 server,NOT FOUND,N/A,True
Enterprise Data Platform,Enterprise Data Platform,BACC Support,bacc support,NOT FOUND,N/A,True
Spectrum Control,Spectrum Control,Spectrum Control,spectrum control,NOT FOUND,N/A,True
Database,Database,Database,database,NOT FOUND,N/A,True
Power System E850C Server,Power System E850C Server,Power System E850C Server,power system e850c server,NOT FOUND,N/A,True
eCare: MyIBM,eCare: MyIBM,Digital eCare,digital ecare,NOT FOUND,N/A,True
RCW Series Coin Recyclers,RCW Series Coin Recyclers,RCW Series Coin Recyclers,rcw series coin recyclers,NOT FOUND,N/A,True
Concert,Concert,IBM Concert Software,ibm concert software,NOT FOUND,N/A,True
Self Checkout Kiosk,Self Checkout Kiosk,Self Checkout Kiosk,self checkout kiosk,NOT FOUND,N/A,True
API Connect Cloud Service,API Connect Cloud Service,API Connect Cloud Service,api connect cloud service,NOT FOUND,N/A,True
Z NetView,Z NetView,Z NetView,z netview,NOT FOUND,N/A,True
Tape Drives Collection,Tape Drives Collection,Tape Drives Collection,tape drives collection,NOT FOUND,N/A,True
LinuxONE III,LinuxONE III,Z Servers,z servers,NOT FOUND,N/A,True
Handheld Scanner,Handheld Scanner,Handheld Scanner,handheld scanner,NOT FOUND,N/A,True
SAGA Series Point of Sale Displays,SAGA Series Point of Sale Displays,SAGA Series Point of Sale Displays,saga series point of sale displays,NOT FOUND,N/A,True
Pinpad Point of Sale Terminals,Pinpad Point of Sale Terminals,Pinpad Point of Sale Terminals,pinpad point of sale terminals,NOT FOUND,N/A,True
Engineering Lifecycle Management Base SaaS,Engineering Lifecycle Management Base SaaS,(SaaS) Engineering Lifecycle Management Base,(saas) engineering lifecycle management base,NOT FOUND,N/A,True
UCS Series,UCS Series,Server,server,NOT FOUND,N/A,True
Guardium Data Encryption,Guardium Data Encryption,Guardium Data Encryption,guardium data encryption,NOT FOUND,N/A,True
Discovery SG Series Scanners,Discovery SG Series Scanners,Discovery SG Series Scanners,discovery sg series scanners,NOT FOUND,N/A,True
Lenovo Server,Lenovo Server,X86 Server,x86 server,NOT FOUND,N/A,True
BIG-IP,BIG-IP,BIG-IP Switch,big-ip switch,NOT FOUND,N/A,True
HashiCorp Boundary Self-Managed,HashiCorp Boundary Self-Managed,HashiCorp Boundary Self-Managed,hashicorp boundary self-managed,NOT FOUND,N/A,True
PowerHA SystemMirror,PowerHA SystemMirror Standard Edition for AIX,PowerHA SystemMirror,powerha systemmirror,NOT FOUND,N/A,True
Synergy Series Compute Modules,Synergy Series Compute Modules,Synergy Series Compute Modules,synergy series compute modules,NOT FOUND,N/A,True
Point of Sale Receipt Printers,Point of Sale Receipt Printers,Point of Sale Receipt Printers,point of sale receipt printers,NOT FOUND,N/A,True
Point of Sale Machine,Point of Sale Machine,Point of Sale Machine,point of sale machine,NOT FOUND,N/A,True
Netcool/Impact,Netcool/Impact,Netcool Impact TBSM,netcool impact tbsm,NOT FOUND,N/A,True
WCE Provisioning,WCE Provisioning,WCE Provisioning,wce provisioning,NOT FOUND,N/A,True
FlashSystem A9000,FlashSystem A9000,FlashSystem A9000,flashsystem a9000,NOT FOUND,N/A,True
Mobile Computers,Mobile Computers,Mobile Computers,mobile computers,NOT FOUND,N/A,True
Spectrum Virtualize for Storwize V7000,Spectrum Virtualize for Storwize V7000,Spectrum Virtualize for Storwize V7000,spectrum virtualize for storwize v7000,NOT FOUND,N/A,True
webMethods Business Process Management,webMethods Business Process Management,webMethods Business Process Management,webmethods business process management,NOT FOUND,N/A,True
zCX Foundation for Red Hat OpenShift,zCX Foundation for Red Hat OpenShift,zCX Foundation for Red Hat OpenShift,zcx foundation for red hat openshift,NOT FOUND,N/A,True
Engineering Lifecycle Management Suite,Engineering Lifecycle Management Suite,Engineering Lifecycle Management Suite,engineering lifecycle management suite,NOT FOUND,N/A,True
Power System S1124 Server,Power System S1124 Server,Power System  S1124 Server,power system  s1124 server,NOT FOUND,N/A,True
Z OMEGAMON AI for Networks,Z OMEGAMON AI for Networks,Z OMEGAMON AI for Networks,z omegamon ai for networks,NOT FOUND,N/A,True
Power System S1012 Server,Power System S1012 Server,Power System S1012 Server,power system s1012 server,NOT FOUND,N/A,True
X6 Series SAN Directors,X6 Series SAN Directors,X6 Series SAN Directors,x6 series san directors,NOT FOUND,N/A,True
Business Automation Content Services on Cloud,Business Automation Content Services on Cloud,Business Automation Content Services on Cloud,business automation content services on cloud,NOT FOUND,N/A,True
Z OMEGAMON AI for CICS,Z OMEGAMON AI for CICS,Z OMEGAMON AI for CICS,z omegamon ai for cics,NOT FOUND,N/A,True
Watson Machine Learning Server,Watson Machine Learning Server,Watson Machine Learning Server,watson machine learning server,NOT FOUND,N/A,True
Connectrix,Connectrix,Connectrix,connectrix,NOT FOUND,N/A,True
TS1140 Tape Drive,TS1140 Tape Drive,TS1140 Tape Drive,ts1140 tape drive,NOT FOUND,N/A,True
Power System 780 Server,Power System 780 Server,Power System 780 Server,power system 780 server,NOT FOUND,N/A,True
Spectrum Symphony,Spectrum Symphony,Spectrum Symphony,spectrum symphony,NOT FOUND,N/A,True
VM Recovery Manager,VM Recovery Manager,VM Recovery Manager for DR and HA,vm recovery manager for dr and ha,NOT FOUND,N/A,True
Laser Printers,Laser Printers,Laser Printer,laser printer,NOT FOUND,N/A,True
Operational Decision Manager on Cloud,Operational Decision Manager on Cloud,ODM on Cloud,odm on cloud,NOT FOUND,N/A,True
Control Desk,Control Desk,Control Desk,control desk,NOT FOUND,N/A,True
watsonx Assistant for Cloud,watsonx Assistant for Cloud,watsonx Assistant for Cloud,watsonx assistant for cloud,NOT FOUND,N/A,True
Power System E1180 Server,Power System E1180 Server,Power System E1180 Server,power system e1180 server,NOT FOUND,N/A,True
Storage Sentinel,Storage Sentinel,Storage Sentinel,storage sentinel,NOT FOUND,N/A,True
Sterling Order Management,Sterling Order Management,Sterling Order Management,sterling order management,NOT FOUND,N/A,True
watsonx.governance as a Service,watsonx.governance as a Service,watsonx.governance as a Service,"watsonx.governance as a service, watsonx.governance as a service.0, watsonx.governance as a service.x",NOT FOUND,N/A,True
MX Series Routers,MX Series Routers,MX SERIES,mx series,NOT FOUND,N/A,True
EX Series Ethernet Switches,EX Series Ethernet Switches,EX Series,ex series,NOT FOUND,N/A,True
IBM Verify on Cloud,IBM Verify on Cloud,No Product,no product,NOT FOUND,N/A,True
Engineering Lifecycle Management Extended SaaS,Engineering Lifecycle Management Extended SaaS,(SaaS) Engineering Lifecycle Management Extended,(saas) engineering lifecycle management extended,NOT FOUND,N/A,True
Cognos Controller on Cloud,Cognos Controller on Cloud,Cognos Controller on Cloud,cognos controller on cloud,NOT FOUND,N/A,True
Power System 710 Server,Power System 710 Server,Power System 710 Server,power system 710 server,NOT FOUND,N/A,True
DS8000 Legacy Systems,DS8000 Legacy Systems,DS8000 Legacy,ds8000 legacy,NOT FOUND,N/A,True
Storwize V3700,Storwize V3700,Storwize V3700,storwize v3700,NOT FOUND,N/A,True
Power System Flat Panel Console,Power System Flat Panel Console,Power System Flat Panel Console,power system flat panel console,NOT FOUND,N/A,True
Manta Standalone Data Lineage,Manta Standalone Data Lineage,Manta Standalone Data Lineage,manta standalone data lineage,NOT FOUND,N/A,True
QRadar Cloud-Native SIEM,QRadar Cloud-Native SIEM,QRadar Cloud-Native SIEM,qradar cloud-native siem,NOT FOUND,N/A,True
BladeSystem c7000 Series Enclosures,BladeSystem c7000 Series Enclosures,C-class,c-class,NOT FOUND,N/A,True
Comprehend,Comprehend,unassigned,unassigned,NOT FOUND,N/A,True
Mac Studio,Mac Studio,Mac Studio,mac studio,NOT FOUND,N/A,True
webMethods Managed File Transfer,webMethods Managed File Transfer,webMethods Managed File Transfer,webmethods managed file transfer,NOT FOUND,N/A,True
Power System 750 Server,Power System 750 Server,Power System 750 Server,power system 750 server,NOT FOUND,N/A,True
webMethods API Management SaaS,webMethods API Management SaaS,webMethods API Management SaaS,webmethods api management saas,NOT FOUND,N/A,True
System i 520 Server,System i 520 Server,System i 520 Server,system i 520 server,NOT FOUND,N/A,True
Data Studio,Data Studio,Data Studio,data studio,NOT FOUND,N/A,True
LinuxONE Rockhopper 4 AGL,LinuxONE Rockhopper 4 AGL,Z Servers,z servers,NOT FOUND,N/A,True
Fusion Middleware,Fusion Middleware,Fusion Middleware,fusion middleware,NOT FOUND,N/A,True
Blueworks Live,Blueworks Live,Blueworks Live,blueworks live,NOT FOUND,N/A,True
Jazz for Service Management DASH / TIP,Jazz for Service Management DASH / TIP,JazzSM Dash,jazzsm dash,NOT FOUND,N/A,True
Flash Array,Flash Array,Flash Array,flash array,NOT FOUND,N/A,True
Gluster & GlusterFS,Gluster & GlusterFS,Gluster & GlusterFS,gluster & glusterfs,NOT FOUND,N/A,True
Spectrum Virtualize for SAN Volume Controller,Spectrum Virtualize for SAN Volume Controller,Spectrum Virtualize,spectrum virtualize,NOT FOUND,N/A,True
Db2 Data Management Console,Db2 Data Management Console,Db2 Data Management Console,db2 data management console,NOT FOUND,N/A,True
Power System E880 Server,Power System E880 Server,Power System E880 Server,power system e880 server,NOT FOUND,N/A,True
Sterling Intelligent Promising,Sterling Intelligent Promising,Sterling Intelligent Promising,sterling intelligent promising,NOT FOUND,N/A,True
ThinkSystem ST Series Server,ThinkSystem ST Series Server,ThinkServer,thinkserver,NOT FOUND,N/A,True
Power System 520 Server,Power System 520 Server,Power System 520 Server,power system 520 server,NOT FOUND,N/A,True
OpenPages as a Service,OpenPages as a Service,OpenPages as a Service,openpages as a service,NOT FOUND,N/A,True
Onsite Standby Project Services,Onsite Standby Project Services,Onsite Standby Project Services,onsite standby project services,NOT FOUND,N/A,True
z Workload Scheduler,z Workload Scheduler,z Workload Scheduler,z workload scheduler,NOT FOUND,N/A,True
Engineering Workflow Management,Engineering Workflow Management,Engineering Workflow Management,engineering workflow management,NOT FOUND,N/A,True
PSS 5000 Forecourt Controller,PSS 5000 Forecourt Controller,PSS 5000 Forecourt Controller,pss 5000 forecourt controller,NOT FOUND,N/A,True
Client Vantage,Client Vantage,unassigned,unassigned,NOT FOUND,N/A,True
US Secure Support,US Secure Support,US Secure Support,us secure support,NOT FOUND,N/A,True
Storage Protect for Databases,Storage Protect for Databases,Storage Protect for Databases,storage protect for databases,NOT FOUND,N/A,True
TCx Wave,TCx Wave,TCx Wave,tcx wave,NOT FOUND,N/A,True
Point of Sale,Point of Sale,Point of Sale,point of sale,NOT FOUND,N/A,True
Netezza Appliance,Netezza Appliance,Netezza Appliance,netezza appliance,NOT FOUND,N/A,True
QRadar Applications,QRadar Applications,QRadar Applications,qradar applications,NOT FOUND,N/A,True
Midrange Storage,Midrange Storage,Midrange Storage,midrange storage,NOT FOUND,N/A,True
AirEngine Series Access Points,AirEngine Series Access Points,AirEngine Series Access Points,airengine series access points,NOT FOUND,N/A,True
Dekra SYSTEMKOFFER Case,Dekra SYSTEMKOFFER Case,Dekra SYSTEMKOFFER Case,dekra systemkoffer case,NOT FOUND,N/A,True
ThinkSystem SD Series Server,ThinkSystem SD Series Server,ThinkSystem SD Series Servers,thinksystem sd series servers,NOT FOUND,N/A,True
Point of Sale Printer,Point of Sale Printer,Point of Sale Printer,point of sale printer,NOT FOUND,N/A,True
Disk Storage Array,Disk Storage Array,Disk Storage Array,disk storage array,NOT FOUND,N/A,True
Storage,Storage,Storage,storage,NOT FOUND,N/A,True
PureTouch Point of Sale,PureTouch Point of Sale,PureTouch Point of Sale,puretouch point of sale,NOT FOUND,N/A,True
WebSphere Application Server for z/OS,WebSphere Application Server for z/OS,WebSphere Application Server for z/OS,websphere application server for z/os,NOT FOUND,N/A,True
Alienware,Alienware,Alienware,alienware,NOT FOUND,N/A,True
OMEGAMON for z/OS,OMEGAMON for z/OS,OMEGAMON for z/OS,omegamon for z/os,NOT FOUND,N/A,True
Maximo EAM Anywhere SaaS Flex,Maximo EAM Anywhere SaaS Flex,(SaaS) Maximo EAM Anywhere SaaS Flex,(saas) maximo eam anywhere saas flex,NOT FOUND,N/A,True
TS1170 Tape Drive,TS1170 Tape Drive,Tape Drive Next,tape drive next,NOT FOUND,N/A,True
Power System 550 Server,Power System 550 Server,Power System 550 Server,power system 550 server,NOT FOUND,N/A,True
Application Discovery and Delivery Intelligence,Application Discovery and Delivery Intelligence,Application Discovery and Delivery Intelligence,application discovery and delivery intelligence,NOT FOUND,N/A,True
Event Streams,Event Streams,Event Streams,event streams,NOT FOUND,N/A,True
Z Multi-Factor Authentication,Z Multi-Factor Authentication,MFA,mfa,NOT FOUND,N/A,True
Db2 Connect,DB2 Connect Enterprise Edition,Db2 Connect,db2 connect,NOT FOUND,N/A,True
Z IntelliMagic Vision,Z IntelliMagic Vision,Z IntelliMagic Vision for z/OS,z intellimagic vision for z/os,NOT FOUND,N/A,True
Power System 730 Server,Power System 730 Server,Power System 730 Server,power system 730 server,NOT FOUND,N/A,True
TS1130 Tape Drive,TS1130 Tape Drive,TS1130 Tape Drive,ts1130 tape drive,NOT FOUND,N/A,True
Combo Point of Sale Box,Combo Point of Sale Box,Combo Point of Sale Box,combo point of sale box,NOT FOUND,N/A,True
Power System E850 Server,Power System E850 Server,Power System E850 Server,power system e850 server,NOT FOUND,N/A,True
PhantomJS,PhantomJS,PhantomJS,phantomjs,NOT FOUND,N/A,True
AMS,AMS,AMS,ams,NOT FOUND,N/A,True
Rational Programming Patterns,Rational Programming Patterns,Rational Programming Patterns,rational programming patterns,NOT FOUND,N/A,True
Developer for z/OS,Developer for z/OS,Developer for z/OS,developer for z/os,NOT FOUND,N/A,True
MDS,MDS,MDS,mds,NOT FOUND,N/A,True
OfficeJet Series Printers,OfficeJet Series Printers,OfficeJet Series Printers,officejet series printers,NOT FOUND,N/A,True
Storage Protect for Cloud,Storage Protect for Cloud,Storage Protect for Cloud,storage protect for cloud,NOT FOUND,N/A,True
Optim Archive,Optim Archive,Optim Archive,optim archive,NOT FOUND,N/A,True
Power System Series Rack,Power System Series Rack,Power System Series Rack,power system series rack,NOT FOUND,N/A,True
Premium Operations Oracle,Premium Operations Oracle,Storage Premium Operations,storage premium operations,NOT FOUND,N/A,True
Flat Panel Series Monitors,Flat Panel Series Monitors,Monitors,monitors,NOT FOUND,N/A,True
OneData,OneData,OneData,onedata,NOT FOUND,N/A,True
TS3310 Tape Library,TS3310 Tape Library,TS3310 Tape Library,ts3310 tape library,NOT FOUND,N/A,True
Ansible,Ansible,Ansible,ansible,NOT FOUND,N/A,True
Rhapsody,Rhapsody,Rhapsody,rhapsody,NOT FOUND,N/A,True
Physical Inventory Inspections Project Services,Physical Inventory Inspections Project Services,Physical Inventory Inspections Project Services,physical inventory inspections project services,NOT FOUND,N/A,True
SANnav,SANnav,SANnav,sannav,NOT FOUND,N/A,True
SPSS Modeler,IBM SPSS Modeler,SPSS Modeler,spss modeler,NOT FOUND,N/A,True
Engineering Test Management,Engineering Test Management,Engineering Test Management,engineering test management,NOT FOUND,N/A,True
UCS Server,UCS Server,UCS Server,ucs server,NOT FOUND,N/A,True
FlashSystem 5600,FlashSystem 5600,unassigned,unassigned,NOT FOUND,N/A,True
BOB@IBM,BOB@IBM,unassigned,unassigned,NOT FOUND,N/A,True
Rational Application Developer for WebSphere Software,Rational Application Developer for WebSphere Software,Rational Application Developer for WebSphere Software,rational application developer for websphere software,NOT FOUND,N/A,True
Runtimes for Business,Runtimes for Business,Runtimes for Business,runtimes for business,NOT FOUND,N/A,True
MobileFirst Platform Foundation,MobileFirst Platform Foundation,MobileFirst Platform Foundation,mobilefirst platform foundation,NOT FOUND,N/A,True
LinuxONE Rockhopper II,LinuxONE Rockhopper II,Z Servers,z servers,NOT FOUND,N/A,True
Product Master,Product Master,Product Master,product master,NOT FOUND,N/A,True
Windows,Windows,Microsoft Windows Operating System,microsoft windows operating system,NOT FOUND,N/A,True
IMS Tools Base for z/OS,IMS Tools Base for z/OS,IMS Tools Base z/OS,ims tools base z/os,NOT FOUND,N/A,True
QFX Series Switches,QFX Series Switches,QFX Series,qfx series,NOT FOUND,N/A,True
oncallmanager,oncallmanager,oncallmanager,oncallmanager,NOT FOUND,N/A,True
Disk Storage,Disk Storage,Disk Storage,disk storage,NOT FOUND,N/A,True
Watson Explorer,Watson Explorer,Watson Explorer,watson explorer,NOT FOUND,N/A,True
Storage Defender,Storage Defender,Storage Defender,storage defender,NOT FOUND,N/A,True
InfoSphere Information Server: Information Governance Catalog (IGC),InfoSphere Information Server: Information Governance Catalog (IGC),InfoSphere Information Server: Information Governance Catalog (I,infosphere information server: information governance catalog (i,NOT FOUND,N/A,True
FlexNetwork MSR Series Routers,FlexNetwork MSR Series Routers,Router,router,NOT FOUND,N/A,True
Open Enterprise SDK for Apache Kafka,Open Enterprise SDK for Apache Kafka,Open Enterprise SDK for Apache Kafka,open enterprise sdk for apache kafka,NOT FOUND,N/A,True
Rational Synergy,Rational Synergy,Rational Synergy,rational synergy,NOT FOUND,N/A,True
Nomad Self-Managed,Nomad Self-Managed,Nomad Self-Managed,nomad self-managed,NOT FOUND,N/A,True
Proliant DX Series Servers,Proliant DX Series Servers,Proliant DX Series Servers,proliant dx series servers,NOT FOUND,N/A,True
Z Operational Log and Data Analytics,Z Operational Log and Data Analytics,Z Operational Log and Data Analytics,z operational log and data analytics,NOT FOUND,N/A,True
watsonx.data intelligence as a Service,watsonx.data intelligence as a Service,watsonx.data intelligence as a Service,"watsonx.data intelligence as a service, watsonx.data intelligence as a service.0, watsonx.data intelligence as a service.x",NOT FOUND,N/A,True
Security QRadar Suite,Security QRadar Suite,Security QRadar Suite,security qradar suite,NOT FOUND,N/A,True
Fusion HCI for watsonx,Fusion HCI for watsonx,Fusion HCI for watsonx,fusion hci for watsonx,NOT FOUND,N/A,True
eCare: SQO,eCare: SQO,Digital eCare,digital ecare,NOT FOUND,N/A,True
Lenovo EveryScale Solution,Lenovo EveryScale Solution,unassigned,unassigned,NOT FOUND,N/A,True
Rational ClearQuest,Rational ClearQuest,Rational ClearQuest,rational clearquest,NOT FOUND,N/A,True
Query Management Facility,Query Management Facility,QMF Analytics for Multiplatforms,qmf analytics for multiplatforms,NOT FOUND,N/A,True
Cognos PowerPlay,Cognos PowerPlay,Cognos PowerPlay,cognos powerplay,NOT FOUND,N/A,True
QRadar Appliance Hardware,QRadar Appliance Hardware,QRadar Appliance Hardware,qradar appliance hardware,NOT FOUND,N/A,True
SPSS Collaboration & Deployment Services,SPSS Collaboration & Deployment Services,SPSS Collaboration & Deployment Services,spss collaboration & deployment services,NOT FOUND,N/A,True
DevOps Velocity,DevOps Velocity,DevOps Velocity,devops velocity,NOT FOUND,N/A,True
Tivoli OMEGAMON XE for Db2 Performance Expert,Tivoli OMEGAMON XE for Db2 Performance Expert,Tivoli OMEGAMON XE for Db2 Performance Expert,tivoli omegamon xe for db2 performance expert,NOT FOUND,N/A,True
CL/SuperSession,CL/SuperSession,CL Supersession,cl supersession,NOT FOUND,N/A,True
File Manager,File Manager,File Manager - HCL,file manager - hcl,NOT FOUND,N/A,True
Fault Analyzer,Fault Analyzer for z/OS,Fault Analyzer - HCL,fault analyzer - hcl,NOT FOUND,N/A,True
Network Enclosures,Network Enclosures,Network Enclosures,network enclosures,NOT FOUND,N/A,True
Uninterruptable Power Supply,Uninterruptable Power Supply,Uninterruptible Power Supply,uninterruptible power supply,NOT FOUND,N/A,True
Z OMEGAMON AI for z/OS,Z OMEGAMON AI for z/OS,Z OMEGAMON AI for z/OS,z omegamon ai for z/os,NOT FOUND,N/A,True
QRadar Applications SaaS,QRadar Applications SaaS,QRadar Applications SaaS,qradar applications saas,NOT FOUND,N/A,True
Datacap on Cloud,Datacap on Cloud,Datacap on Cloud,datacap on cloud,NOT FOUND,N/A,True
Data Center Management,Data Center Management,Data Center Software,data center software,NOT FOUND,N/A,True
Workstation Personal Computer,Workstation Personal Computer,Workstations,workstations,NOT FOUND,N/A,True
Unity Hybrid Storage,Unity Hybrid Storage,Unity Hybrid Storage,unity hybrid storage,NOT FOUND,N/A,True
PowerSC,PowerSC,PowerSC,powersc,NOT FOUND,N/A,True
Monitors,Monitors,15in Monitor,15in monitor,NOT FOUND,N/A,True
Equallogic,Equallogic,Equallogic,equallogic,NOT FOUND,N/A,True
Notebooks,Notebooks,Notebooks,notebooks,NOT FOUND,N/A,True
OptiPlex,OptiPlex,OptiPlex,optiplex,NOT FOUND,N/A,True
Video Conference,Video Conference,Video Conference,video conference,NOT FOUND,N/A,True
Hardware customization/shipping & handling,Hardware customization/shipping & handling,Hardware customization/shipping & handling,hardware customization/shipping & handling,NOT FOUND,N/A,True
Optim Data Growth,Optim Data Growth,Optim Data Growth,optim data growth,NOT FOUND,N/A,True
COBOL,COBOL,COBOL,cobol,NOT FOUND,N/A,True
Guardium Discover and Classify,Guardium Discover and Classify,Security Discover and Classify,security discover and classify,NOT FOUND,N/A,True
Ideapad,Ideapad,Ideapad,ideapad,NOT FOUND,N/A,True
Scanner,Scanner,Scanner,scanner,NOT FOUND,N/A,True
Daeja ViewONE,Daeja ViewONE,Daeja ViewONE,daeja viewone,NOT FOUND,N/A,True
webMethods AgileApps SaaS,webMethods AgileApps SaaS,webMethods AgileApps SaaS,webmethods agileapps saas,NOT FOUND,N/A,True
Spectrum Protect for ERP,Spectrum Protect for ERP,Storage Protect for ERP,storage protect for erp,NOT FOUND,N/A,True
Financial Crimes Insight,Financial Crimes Insight,Financial Crimes Insight (SaaS),financial crimes insight (saas),NOT FOUND,N/A,True
Guardium Insights,Guardium Insights,Guardium Insights,guardium insights,NOT FOUND,N/A,True
Db2 Analytics Accelerator Loader for z/OS,Db2 Analytics Accelerator Loader for z/OS,Db2 Analytics Accelerator Loader for z/OS,db2 analytics accelerator loader for z/os,NOT FOUND,N/A,True
ATMs,ATMs,ATMs,atms,NOT FOUND,N/A,True
Luna DB,Luna DB,Luna DB,luna db,NOT FOUND,N/A,True
Cognos Planning,Cognos Planning,Cognos Planning,cognos planning,NOT FOUND,N/A,True
ThinkSystem SR V3 Series Server,ThinkSystem SR V3 Series Server,ThinkSystem SR Series Servers,thinksystem sr series servers,NOT FOUND,N/A,True
Decision Runtime for z/OS,Decision Runtime for z/OS,ODM for z/OS,odm for z/os,NOT FOUND,N/A,True
Power System S822L Server,Power System S822L Server,Power System S822L Server,power system s822l server,NOT FOUND,N/A,True
"Db2 Linux, Unix and Windows w/ Performance Optimization","Db2 Linux, Unix and Windows w/ Performance Optimization","Db2 Linux, Unix and Windows w/ Performance Optimization","db2 linux, unix and windows w/ performance optimization",NOT FOUND,N/A,True
Storage Ceph,Storage Ceph,Ceph,ceph,NOT FOUND,N/A,True
Explorer for z/OS,Explorer for z/OS,IBM Explorer for z/OS v3.0 Aqua,"ibm explorer for z/os v3.0 aqua, ibm explorer for z/os v3.0 aqua.0, ibm explorer for z/os v3.0 aqua.x",NOT FOUND,N/A,True
Dependency Based Build,Dependency Based Build,Dependency Based Build for z/OS,dependency based build for z/os,NOT FOUND,N/A,True
IMS Database Solution Pack for z/OS,IMS Database Solution Pack for z/OS,IMS DB Solution Pack z/OS,ims db solution pack z/os,NOT FOUND,N/A,True
z13s,z13s,Z Servers,z servers,NOT FOUND,N/A,True
WebSphere Automation,WebSphere Automation,WebSphere Automation for Cloud Pak for AIOps,websphere automation for cloud pak for aiops,NOT FOUND,N/A,True
InfoSphere Information Server: QualityStage (QS),InfoSphere Information Server: QualityStage (QS),InfoSphere Information Server: QualityStage (QS),infosphere information server: qualitystage (qs),NOT FOUND,N/A,True
Cloud Pak for Data as a Service,Cloud Pak for Data as a Service,Cloud Pak for Data as a Service,cloud pak for data as a service,NOT FOUND,N/A,True
Concert for Z,Concert for Z,unassigned,unassigned,NOT FOUND,N/A,True
E-Business Suite,E-Business Suite,E-Business Suite,e-business suite,NOT FOUND,N/A,True
IBMid Support,IBMid Support,IBMid Enterprise Federation,ibmid enterprise federation,NOT FOUND,N/A,True
Thermal Printers,Thermal Printers,Thermal Printers,thermal printers,NOT FOUND,N/A,True
EntireX,EntireX,EntireX,entirex,NOT FOUND,N/A,True
