original_product,mapped_product,version,normalized_versions,found_in,matched_version,is_blue
Maximo Asset Management,Maximo Asset Management,Maximo Asset Management,maximo asset management,NOT FOUND,N/A,True
Db2 pureScale,Db2 pureScale,Db2 pureScale,db2 purescale,NOT FOUND,N/A,True
Storage Scale System Software,Storage Scale System Software,Storage Scale System Software,storage scale system software,NOT FOUND,N/A,True
WebSphere Liberty Core,WebSphere Application Server Liberty Core,Websphere Application Server Liberty,websphere application server liberty,NOT FOUND,N/A,True
ThinkSystem SR V1 Series Server,ThinkSystem SR V1 Series Server,ThinkSystem,thinksystem,NOT FOUND,N/A,True
WebSphere Hybrid Edition,WebSphere Hybrid Edition,WebSphere Hybrid Edition,websphere hybrid edition,NOT FOUND,N/A,True
Terraform Self-Managed,Terraform Self-Managed,Terraform Self-Managed,terraform self-managed,NOT FOUND,N/A,True
Terraform,Terraform,Terraform,terraform,NOT FOUND,N/A,True
MongoDB,MongoDB,MongoDB,mongodb,NOT FOUND,N/A,True
Tivoli Composite Application Manager for Applications,Tivoli Composite Application Manager for Applications,ITCAM,itcam,NOT FOUND,N/A,True
Point of Sale Monitor,Point of Sale Monitor,POS Monitor,pos monitor,NOT FOUND,N/A,True
Trusteer Rapport,Trusteer Rapport,Trusteer Rapport,trusteer rapport,NOT FOUND,N/A,True
SUSE Linux Enterprise Server,SUSE Linux Enterprise Server,SUSE Linux Enterprise Server,suse linux enterprise server,NOT FOUND,N/A,True
iPhone,iPhone,iPhone,iphone,NOT FOUND,N/A,True
Content Collector,Content Collector,Content Collector,content collector,NOT FOUND,N/A,True
InfoSphere Information Server: Generic,InfoSphere Information Server: Generic,InfoSphere Information Server: Generic,infosphere information server: generic,NOT FOUND,N/A,True
Security Verify Privilege,Security Verify Privilege,Security Verify Privilege,security verify privilege,NOT FOUND,N/A,True
Turbonomic On-Premises,Turbonomic On-Premises,Turbonomic ARM,turbonomic arm,NOT FOUND,N/A,True
GDPS (Geographically Dispersed Parallel Sysplex),GDPS (Geographically Dispersed Parallel Sysplex),GDPS (Geographically Dispersed Parallel Sysplex),gdps (geographically dispersed parallel sysplex),NOT FOUND,N/A,True
Appliances,Appliances,Appliance,appliance,NOT FOUND,N/A,True
eCare: Passport Advantage,eCare: Passport Advantage,Digital eCare,digital ecare,NOT FOUND,N/A,True
webMethods Hybrid Integration SaaS,webMethods Hybrid Integration SaaS,webMethods Hybrid Integration SaaS,webmethods hybrid integration saas,NOT FOUND,N/A,True
ThinkSystem Series Storage,ThinkSystem Series Storage,ThinkSystem DS Series Storage Systems,thinksystem ds series storage systems,NOT FOUND,N/A,True
Salesforce Internal Support,Salesforce Internal Support,Internal Support,internal support,NOT FOUND,N/A,True
SevOne Network Performance Management,SevOne Network Performance Management,SevOne Network Performance Management,sevone network performance management,NOT FOUND,N/A,True
Power System S822 Server,Power System S822 Server,Power System S822 Server,power system s822 server,NOT FOUND,N/A,True
OpenPages on Cloud,OpenPages on Cloud,OpenPages GRC on Cloud,openpages grc on cloud,NOT FOUND,N/A,True
SUSE Linux Enterprise Server for SAP Applications,SUSE Linux Enterprise Server for SAP Applications,SUSE Linux Enterprise Server for SAP Applications,suse linux enterprise server for sap applications,NOT FOUND,N/A,True
Aironet Series,Aironet Series,Wireless Controller,wireless controller,NOT FOUND,N/A,True
Data Replication for z/OS,Data Replication for z/OS,Data Replication for z/OS,data replication for z/os,NOT FOUND,N/A,True
Aspera On Cloud,Aspera On Cloud,"Aspera on Cloud (Files, ATS)","aspera on cloud (files, ats)",NOT FOUND,N/A,True
Master Data Management CE,Master Data Management CE,Master Data Management CE,master data management ce,NOT FOUND,N/A,True
XL C/C++,XL C/C++,XL C/C++,xl c/c++,NOT FOUND,N/A,True
HashiCorp Boundary SaaS,HashiCorp Boundary SaaS,HashiCorp Boundary SaaS,hashicorp boundary saas,NOT FOUND,N/A,True
Cash Drawers,Cash Drawers,Cash Drawer,cash drawer,NOT FOUND,N/A,True
Netcool Operations Insights,Netcool Operations Insights,Netcool Omnibus,netcool omnibus,NOT FOUND,N/A,True
IBM Z Security and Compliance Center,IBM Z Security and Compliance Center,IBM Z Security and Compliance Center,ibm z security and compliance center,NOT FOUND,N/A,True
Premium Operations Microsoft,Premium Operations Microsoft,Storage Premium Operations,storage premium operations,NOT FOUND,N/A,True
Engineering Requirements Management DOORS Next,Engineering Requirements Management DOORS Next,Engineering Requirements Management DOORS Next,engineering requirements management doors next,NOT FOUND,N/A,True
Db2 Genius Hub,Db2 Genius Hub,Db2 Intelligence Center,db2 intelligence center,NOT FOUND,N/A,True
XIV,XIV,XIV,xiv,NOT FOUND,N/A,True
zEC12,zEC12,Z Servers,z servers,NOT FOUND,N/A,True
webMethods API Management,webMethods API Management,webMethods API Management,webmethods api management,NOT FOUND,N/A,True
PowerVC for Private Cloud,PowerVC for Private Cloud,PowerVC for Private Cloud,powervc for private cloud,NOT FOUND,N/A,True
VM Lifecycle Manager,VM Lifecycle Manager,VM Lifecycle Manager,vm lifecycle manager,NOT FOUND,N/A,True
Engineering Requirements Management DOORS,Engineering Requirements Management DOORS,Engineering Requirements Management DOORS,engineering requirements management doors,NOT FOUND,N/A,True
FileNet Content Manager,FileNet Content Manager,FileNet Content Manager,filenet content manager,NOT FOUND,N/A,True
IBM i on PowerVS,IBM i on PowerVS,IBM i on Cloud,ibm i on cloud,NOT FOUND,N/A,True
Cloud Management Console,Cloud Management Console,Cloud Management Console,cloud management console,NOT FOUND,N/A,True
Unified Management Server for z/OS,Unified Management Server for z/OS,Unified Management Server for z/OS,unified management server for z/os,NOT FOUND,N/A,True
